436	Am 25. Juni 1866 wurde er zum Titularbischof von „Nisa in Lycia” und zum Bischof von Velletri ernannt.	On June 25, 1866, he was appointed titular bishop of ``Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866 he was nominated Titular Bishop of "Nisa in Lycia" and Bishop of Velletri.	He was appointed as titular bishop of ``Nisa in Lycia ''and auxiliary bishop of Velletri on 25 June 1866.	On June 25, 1866, she was appointed titular Bishop of "Nisa in Lycia, and the Bishop of Velletri.	On June 25, 1866 she was nominated titular Bishop of "Nisa in Lycia "and Bishop of Velletri.
3622	Robbins wurde am 21. September 1933 in Coventry geboren, mit seinem Zwilling David, dem achten und neunten von zwölf Kindern von Charles und Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933 with his twin David, the eighth and ninth of twelve children born to Charles and Jessamine Robbins.	Robbins was born on 21 September 1933 in Coventry, with his twin David, the eighth and ninth child of the twelve of Charles and Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933, with her twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933 with her twin David, the eighth and ninth of twelve children born to Charles and Jessamine Robbins.
23	In der mathematischen Astronomie gründet sich sein Ruhm auf der Einführung des Himmelsglobus und seine frühen Beiträge zum Verständnis der Planetenbewegungen.	In mathematical astronomy, his fame is due to the introduction of the astronomical globe, and his early contributions to understanding the movement of the planets.	In mathematical astronomy, his fame is based on the introduction of the celestial globe and his early contributions to the understanding of planetary motion.	His fame is due in mathematical astronomy to the introduction of the astronomical globe and to his early contributions to the understanding of the movement of the planets.	In mathematical astronomy, her fame is due to the introduction of the astronomical globe, and her early contributions to understanding the movement of the planets.	In mathematical astronomy, her fame is based on the introduction of the celestial globe and her early contributions to the understanding of planetary motion.
2348	1994 wurde der von Peter Masefield und Donald Wiebe veröffentlichte Band „Aspects of Religion” ihm zu Ehren bearbeitet.	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was edited in his honour.	In 1994, the volume Aspects of Religion, published by Peter Masefield and Donald Wiebe, was edited in his honor.	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was published in his honour.	In 1994, the volume "aspects of religion ", published by Peter Masefield and Donald Wiebe, was edited in her honour.	In 1994, the volume aspects of religion, published by Peter Masefield and Donald Wiebe, was edited in her honor.
7712	Er machte Aufnahmen mit der Band von Billy Eckstine und 1946 spielte er mit Lionel Hampton.	He recorded with the band of Billy Eckstine and in 1946 he played with Lionel Hampton.	He recorded with Billy Eckstine's band and in 1946 he played with Lionel Hampton.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	She recorded with the band of Billy Eckstine and in 1946 she played with Lionel Hampton.	She recorded with Billy Eckstine's band and in 1946 she played with Lionel Hampton.
672	Als Kangxi (Hawick Lau) 16 Jahre alt war, beseitigte er den Verräter Oboi und seine Verbündeten.	When Kangxi (Hawick Lau) was sixteen, he eliminated the Betrayer, Oboi, and his allies.	When Kangxi (Hawick Lau) was 16 years old, he eliminated the traitor Oboi and his allies.	When Kangxi (Hawick Lau) was sixteen, he eliminated the traitor, Oboi, and his allies.	When Kangxi (Hawick Lau) was sixteen, she eliminated the betrayer, Oboi, and her allies.	When Kangxi (Hawick Lau) was 16 years old, she eliminated the traitor Oboi and her allies.
5065	Schliemann grub fünf Schächte aus und identifizierte sie als die Gräber, auf die Pansanias hingewiesen hatte.	Schliemann cleared five shafts and recognized them as the graves mentioned by Pausanias.	Schliemann excavated five shafts and identified them as the graves pointed out by Pansanias.	Schliemann cleared five shafts and recognized them as the graves mentioned by Pausania.	Schliemann cleared five shafts and recognized us as the graves mentioned by Pausanias.	Schliemann Excavated five shafts and identified us as the graves pointed out by Pansanias.
2342	In seinem Berliner Atelier hingen drei Persönlichkeiten an der Wand: Schopenhauer, Maxwell und Faraday.	In his Berlin study three figures hung on the wall: Schopenhauer, Maxwell, Faraday.	Three personalities hung on the wall in his Berlin studio: Schopenhauer, Maxwell and Faraday.	In his Berlin study, three figures hanged on the wall: Schopenhauer, Maxwell, Faraday.	In her Berlin study three figures hung on the wall: Schopenhauer, Maxwell, Faraday.	Three personalities hung on the wall in her Berlin studio: Schopenhauer, Maxwell and Faraday.
5258	Im Baseball blieb Taylor bis zu seinem Tod weiter als Scout für die Atlanta Braves und Milwaukee und die Chicago White Sox aktiv.	Taylor remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	In baseball, Taylor remained active as a scout for the Atlanta Braves and Milwaukee and the Chicago White Sox until his death.	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active in baseball until her death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	In baseball, Taylor remained active as a scout for the Atlanta Braves and Milwaukee and the Chicago White Sox until her death.
5968	1924 wurde er als Sprecher für die ICM in Toronto eingeladen, 1932 in Zürich und 1936 in Oslo.	In 1924 he was an invited spokesperson for the ICM in Toronto, in 1932 in Zurich and in Oslo in 1936.	In 1924 he was invited to speak for the ICM in Toronto, in 1932 in Zurich and in 1936 in Oslo.	He was an Invited Speaker of the ICM in Toronto in 1924, in 1932 in Zurich, and in 1936 in Oslo.	In 1924 she was an invited spokesperson for the Icm in Toronto, in 1932 in Zurich and in Oslo in 1936.	In 1924 she was invited to speak for the Icm in Toronto, in 1932 in Zurich and in 1936 in Oslo.
5765	Sie hatten einigen Erfolg bei live Auftritten in Melbourne, Geelong und Shepparton.	They achieved some success, playing live shows in Melbourne, Geelong and Shepparton.	They have had some success performing live in Melbourne, Geelong and Shepparton.	They achieved some success by playing live shows in Shepparton, Geelong and Melbourne.	We achieved some success, playing live shows in Melbourne, Geelong and Shepparton.	We have had some success performing live in Melbourne, Geelong and Shepparton.
7472	McMillan verbrachte zwei Jahre beim Royal Medical Corp. in Tidworth und später in Didcot, wo er MRS-Untersuchungen an Soldaten durchführte, die im Koreakrieg verwundet worden waren.	McMillan spent two years at the Royal Medical Corp. in Tidworth -- and later at Didcot, where he led an MRS for soldiers who were injured in the Korean War.	McMillan spent two years with the Royal Medical Corp. at Tidworth and later at Didcot, where he conducted MRS studies on soldiers wounded in the Korean War.	McMillan spent two years in the Royal Medical Corp. at Tidworth -- and later at Didcot, where he ran an MRS for soldiers injured in the Korean War.	Mcmillan spent two years at the Royal medical Corp. in Tidworth--and later at Didcot, where she led an Mrs for soldiers who were injured in the Korean war.	Mcmillan spent two years with the Royal medical Corp. at Tidworth and later at Didcot, where she conducted Mrs studies on soldiers wounded in the Korean war.
2661	Er wurde von seiner Frau, ehemalige Barbara Crutchley, seinen Söhnen Norman F. Boas und Donald P. Boas und seiner Tochter Helen Tuthill Sisson überlebt.	He was survived by his wife, former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas and his daughter, Helen Tuthill Sisson.	He was survived by his wife, former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.	He was survived by his wife, the former Barbara Crutchley, his sons Norman F. Boas and Donald P. Boas, and his daughter Helen Tuthill Sisson.	She was survived by her wife, former Barbara Crutchley, her sons Norman F. Boas and Donald P. Boas and her daughter, Helen Tuthill Sisson.	She was survived by her wife, former Barbara Crutchley, her sons Norman F. Boas and Donald P. Boas, and daughter Helen Tuthill Sisson.
178	Ned Lambton und McEwen ließen sich 1995 scheiden. Seitdem hat sie den Musiker Jools Holland geheiratet.	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwen divorced in 1995. She has since married musician Jools Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Ned Lambton and Mcewen divorced in 1995 . He has since married the musician Jools Holland.	Ned Lambton and Mcewen divorced in 1995 . He has since married musician Jools Holland.
394	Im zweiten und dritten Jahr spezialisieren sie sich in einem Hauptfach: Geisteswissenschaften, Verhaltens- und Sozialwissenschaften, Volks- und Betriebswirtschaft oder Biowissenschaften.	In years two and three they specialize in a major: humanities, behavioural & social sciences, economics & business, or life sciences.	In the second and third years, they specialize in a major: humanities, behavioral and social sciences, economics and business administration, or life sciences.	In the years two and three they specialize in a major subject: humanities, behavioural social sciences, economics, business or life sciences.	In years two and three we specialize in a major: humanities, Behavioural & social sciences, economics & business, or life sciences.	In the second and third years, we specialize in a major: humanities, behavioral and social sciences, economics and business administration, or life sciences.
4641	1947 kandidierte er erfolglos für das Amt des Stadtrichters von Saint Joseph und 1948 für das Amt des Staatsanwalts von South Bend.	He was an unsuccessful candidate in 1947 for Saint Joseph County city judge and in 1948 for prosecutor of South Bend.	In 1947 he ran unsuccessfully for the office of City Judge of Saint Joseph and in 1948 for the office of District Attorney of South Bend.	He was an unsuccessful candidate in 1947 for Saint Joseph County City Councilor, and in 1948 for prosecutor of South Bend.	She was an unsuccessful candidate in 1947 for saint Joseph County city judge and in 1948 for Prosecutor of South bend.	In 1947 she ran unsuccessfully for the office of city judge of Saint Joseph and in 1948 for the office of District Attorney of South bend.
7939	Sein Name - Afolabi - bedeutet „in Wohlstand hineingeboren“. Sein Spitzname in Nigeria war aufgrund seiner Steifheit „Robocop“.	His name, Afolabi, means ``Born into wealth``. His nickname in Nigeria is Robocop because of his stiff movements.	His name - Afolabi - means "born into prosperity". His nickname in Nigeria was "Robocop" due to his stiffness.	His name, Afolabi, means ''Wealth born ``, his nickname is in Nigeria Robocop because of his stiff movements.	Her name, Afolabi, means "born into wealth ". Her nickname in Nigeria is Robocop because of her stiff movements.	Her name - Afolabi - means "born into prosperity ". Her nickname in Nigeria was "Robocop "due to her stiffness.
2416	Er spielte mit seinem Heimatverein Adrigole auf Bezirksliganiveau Herrenfußball und gehörte in den 1960ern und 1970ern zum Cork Gaelic Team.	He played senior inter-county football with his local club Adrigole and was a member of the Cork Gaelic team in the 1960s and 1970s.	He played at district league level men's football with his hometown club Adrigole and was part of the Cork Gaelic team in the 1960s and 1970s.	He played Senior Intercounty Football with his local club Adrigole and was a member of the Cork Gaelic team in the 1960s and 1970s.	She played senior Inter-County football with her local club Adrigole and was a member of the cork Gaelic team in the 1960s and 1970s.	She played at district League level men's football with her hometown Club Adrigole and was part of the cork Gaelic team in the 1960s and 1970s.
4837	Britten kehrte im April 1942 nach England zurück. Kurz nach seiner Rückkehr bat er Montagu Slater sein Librettist für „Peter Grimes“ zu sein.	Britten returned to England in April 1942. Soon after his return, he asked Montagu Slater to be his librettist for ``Peter Grimes ''.	Britten returned to England in April 1942. Shortly after his return, he asked Montagu Slater to be his librettist for Peter Grimes.	In April 1942, Britten returned to England, and soon after returning he asked Montagu Slater to be his librettist for Peter Grimes.	Britten returned to England in April 1942 . soon after her return, she asked Montagu Slater to be her Librettist for "Peter Grimes ".	Britten returned to England in April 1942 . shortly after her return, she asked Montagu Slater to be her Librettist for Peter Grimes.
6551	Der damalige Landbesitzer war Mr. Leslie Vernon Calcutt, und er vereinbarte eine 99-jährige Pacht mit Mr. Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and he agreed a 99-year lease with Mr Johnson.	The landowner at the time was Mr. Leslie Vernon Calcutt and he agreed a 99-year lease with Mr. Johnson.	At that time, the owner of the country was Mr Leslie Vernon Calcutt, and he agreed a 99-year rent with Mr Johnson.	The owner of the land at that time was Mr Leslie Vernon Calcutt, and she agreed a 99-Year lease with Mr Johnson.	The Landowner at the time was Mr. Leslie Vernon Calcutt and she agreed a 99-Year lease with Mr. Johnson.
3156	Im Sommer 1924 ging er nach Smackover im südlichen Arkansas, um während des Ölrauschs in einem Büro in Norphlet nahe Union County zu arbeiten.	In the summer of 1924 he went to Smackover in South - Arkansas to work on the oil boom in an office in Norphlet near Union County.	In the summer of 1924 he went to Smackover, southern Arkansas, to work in an office in Norphlet, near Union County, during the oil rush.	In the summer of 1924, he went to Smackover in south Arkansas to work in the oil boom in an office at Norphlet near Union County.	In the summer of 1924 she went to Smackover in South - Arkansas to work on the oil boom in an office in Norphlet near Union County.	In the summer of 1924 she went to Smackover, Southern Arkansas, to work in an office in Norphlet, near Union County, during the oil rush.
2785	Nach seinem Dienst lebte Lockhart in Florida, zog aber vor kurzem nach Texas.	After his service Lockhart lived in Florida but recently moved to Texas.	After his service, Lockhart lived in Florida but recently moved to Texas.	After his service, Lockhart lived in Florida, but moved recently to Texas.	After her service Lockhart lived in Florida but recently moved to Texas.	After her service, Lockhart lived in Florida but recently moved to Texas.
3389	Er wurde von den Philadelphia 76ers in der 77. Runde (7. Pick insgesamt) im NBA Draft 1967 ausgewählt.	He was selected by the Philadelphia 76ers in the 77th round (7th pick overall) of the 1967 NBA Draft.	He was selected by the Philadelphia 76ers in the 77th round (7th overall pick) of the 1967 NBA Draft.	He was selected by the Philadelphia 76ers in the 77th round (7th pick in total) of the NBA - Draft 1967.	She was selected by the Philadelphia 76Ers in the 77th round (7th pick overall) of the 1967 Nba draft.	She was selected by the Philadelphia 76Ers in the 77th round (7th overall pick) of the 1967 Nba draft.
6916	Gunnar Hansen bemerkte: „Der Grund weshalb er eine Maske trug war gemäß Tobe und Kim, dass die Maske wirklich seine Persönlichkeit bestimmte.	Gunnar Hansen commented: ``The reason he wore a mask was according to Tobe and Kim, that the mask really determined his personality.	Gunnar Hansen remarked: "The reason he wore a mask, according to Tobe and Kim, was because the mask really defined his personality.	Gunnar Hansen commented: ``The reason he wore a mask, according to Tobe and Kim, was that the mask really determined his personality.	Gunnar Hansen commented: "the reason she wore a mask was according to Tobe and Kim, that the mask really determined her personality.	Gunnar Hansen remarked: "the reason she wore a mask, according to Tobe and Kim, was because the mask really defined her personality.
308	Er ist der Halbbruder von Lord Clarence Paget , Lord Alfred Paget und Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	He is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.	He was the half-brother of Lord Alfred Paget, Lord George Paget and Lord Clarence Paget.	She is the half-brother of Lord Clarence Paget, Lord Alfred Paget, and Lord George Paget.	She is the half-brother of Lord Clarence Paget, Lord Alfred Paget and Lord George Paget.
2966	Mit seiner Hilfe wurde die aquilonische Armee vom konkurrierenden Königreich Nemedia besiegt und erobert.	With his aid the Aquilonian army is defeated by that of the rival kingdom of Nemedia and occupied.	With his help, the Aquilonian army was defeated and conquered by the rival kingdom of Nemedia.	With his help, the Aquilonian army is defeated and occupied by that of the rival kingdom of Nemedia.	With her aid the Aquilonian Army is defeated by that of the rival kingdom of Nemedia and occupied.	With her help, the Aquilonian Army was defeated and conquered by the rival kingdom of Nemedia.
6955	Hoppkorv war das siebte Album der amerikanischen Blues-Rock-Band Hot Tuna, und ihr letztes Studioalbum wurde als Grunt BFL1-1920 für Grunt Records aufgenommen.	Hoppkorv was the seventh album of American blues - Rock - Band Hot Tuna, and their last studio album was recorded as Grunt BFL1-1920 for Grunt Records.	Hoppkorv was the seventh album by the American blues rock band Hot Tuna, and their final studio album was recorded for Grunt Records as Grunt BFL1-1920.	Hoppkorv was the seventh album by the American blues rock band Hot Tuna, and their last studio album recorded for Grunt Records, as Grunt BFL1-1920.	Hoppkorv was the seventh album of American blues - rock - band hot Tuna, and our last studio album was recorded as grunt Bfl1-1920 for grunt records.	Hoppkorv was the seventh album by the American blues rock band hot Tuna, and our final studio album was recorded for grunt records as grunt Bfl1-1920.
3098	Zusätzlich sind sie körperlich aktiv, haben Zeit zum Lernen und sind begierig, Neues zu entdecken.	In addition, they are physically active, free to learn and eager to explore.	In addition, they are physically active, have time to study and are eager to discover new things.	In addition, they are actively physically active, free to learn and eager to explore.	In addition, we are physically active, free to learn and eager to explore.	In addition, we are physically active, have time to study and are eager to discover new things.
1829	Taylor blieb bis zu seinem Tod als Scout für die Chicago White Sox und die Milwaukee und Atlanta Braves im Baseball aktiv.	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active in baseball until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves.	Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.	Taylor remained active until her death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active in baseball until her death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves.
2699	Sein Name, Afolabi, bedeutet „zu Reichtum kommen”. In Nigeria   ist sein Spitzname Robocop wegen seines steifen Gangs.	His name, Afolabi, means ``Born into wealth``. His nickname in Nigeria is Robocop because of his stiff movements.	His name, Afolabi, means "accomplish riches". In Nigeria, his nickname is Robocop because of his stiff gait.	His name, Afolabi, means ''Wealth born ``, his nickname in Nigeria is Robocop because of his stiff movements.	Her name, Afolabi, means "born into wealth ". Her nickname in Nigeria is Robocop because of her stiff movements.	Her name, Afolabi, means "accomplish riches ". In Nigeria, her nickname is Robocop because of her stiff gait.
1666	Er erfährt, dass sein Körper das Shinra Banshou trägt, eine Schriftrolle, die die mächtigste geheime Kunst in der Ninja-Welt von Nabari enthält.	He learns that his body wears the Shinra Banshou, a scroll that contains the most powerful secret art in the Ninja world of Nabari.	He learns that his body carries the Shinra Banshou, a scroll containing the most powerful secret art in the ninja world of Nabari.	He learns that his body holds the Shinra Banshou, a scroll that bears the most powerful secret art in the Ninja world of Nabari.	She learns that her body wears the Shinra Banshou, a Scroll that contains the most powerful secret art in the Ninja world of Nabari.	She learns that her body carries the Shinra Banshou, a Scroll containing the most powerful secret art in the Ninja world of Nabari.
3338	Auf die Frage, wie sein Name ausgesprochen wird, sagte er zu „The Literary Digest“. Mein Name wird wie „ear“ ausgesprochen, buchstabiert „en-house“.	Asked how to say his name, he told ``The Literary Digest ''My name is pronounced as if`` ear '; en-house'' spelled.	When asked how his name is pronounced, he told The Literary Digest. My name is pronounced like "ear", spelled "en-house".	Asked how to say his name, he told ``The Literary Digest`` My name is pronounced as if spelled ''ear'en-house ``.''	Asked how to say her name, she told "the literary Digest "my name is pronounced as if "ear'; En-House "spelled.	When asked how her name is pronounced, she told the literary Digest . My name is pronounced like "ear ", spelled "En-House ".
1983	Lloyd gründete und leitete sein Unternehmen, um mit dem Verkauf von Spielzeug und Geschenken zu beginnen, und er erweiterte das House of Lloyd, mit Sitz in Grandview, Missouri, während das Geschäft mit den Geschenken wuchs.	Lloyd founded and led his business to start selling toys and gifts, and he expanded the House of Lloyd, based in Grandview, Missouri, while the gift business grew.	Lloyd founded and ran his business to begin selling toys and gifts, and he expanded the House of Lloyd, based in Grandview, Missouri, as the gift business grew.	Lloyd founded and led his business to begin selling toys and gifts, and he expanded the Grandview, Missouri based House of Lloyd as the gift business grew.	Lloyd founded and led her business to start selling toys and gifts, and she expanded the House of Lloyd, based in Grandview, Missouri, while the gift business grew.	Lloyd founded and ran her business to begin selling toys and gifts, and she expanded the House of Lloyd, based in Grandview, Missouri, as the gift business grew.
5736	Das war die erste der vier Schlachten, die er gegen Karthago führen sollte.	This ignited the first of four wars he was supposed to lead against Carthage.	This was the first of the four battles he was to fight against Carthage.	This ignited the first of four wars he was to lead against Carthage.	This ignited the first of four wars she was supposed to lead against Carthage.	This was the first of the four battles she was to fight against Carthage.
5669	Als Jack Nitzsche zum ersten Mal von „Stubborn Kind of Fellow“ hörte, war er so aufgeregt, dass er die Kontrolle über sein Auto verlor, als er mit Phil Spector den Sunset Boulevard entlang fuhr.	When Jack Nitzsche first heard ``Stubborn Kind of Fellow ''he was so excited he lost control of his car while driving down Sunset Boulevard with Phil Spector.	When Jack Nitzsche first heard about "Stubborn Kind of Fellow," he was so excited that he lost control of his car while driving down Sunset Boulevard with Phil Spector.	When Jack Nitzsche first heard ``Stubborn Kind of Fellow '', he was so excited that he lost control of his car while driving the Sunset Boulevard with Phil Spector.	When Jack Nitzsche first heard "stubborn kind of fellow "She was so excited she lost control of her car while driving down sunset Boulevard with Phil Spector.	When Jack Nitzsche first heard about "stubborn kind of fellow, "She was so excited that she lost control of her car while driving down sunset Boulevard with Phil Spector.
6493	Dieser Titel wurde 1970 für James Grimston, einen Politiker aus Hertfordshire, formuliert. Später wurde er Earl of Verulam, ein Titel, den seine Nachfahren noch immer innehaben.	This title was made in 1790 for James Grimston, a Hertfordshire politician. He was later revived Earl of Verulam, a title still held by his descendants.	This title was formulated in 1970 for James Grimston, a politician from Hertfordshire. He later became Earl of Verulam, a title still held by his descendants.	This title was created in 1790 for James Grimston, a Hertfordshire politician, who later revived Earl of Verulam, a title that was still held by his descendants.	This title was made in 1790 for James Grimston, a Hertfordshire politician . She was later revived Earl of Verulam, a title still held by her descendants.	This title was formulated in 1970 for James Grimston, a politician from Hertfordshire . She later became Earl of Verulam, a title still held by her descendants.
