2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 32 was the 30th season of the National Basketball Association .
2749	none	Julio Peralta and Horacio Zeballos won the title , defeating Sergio Galdós and Luis David Martínez 6 -- 2 , 6 -- 2 in the final .	none	Julio Peralta and Horacio Zeballos won the title and defeated Sergio Galdós and Luis David Martínez 6 -- 2 , 6 - 2 in the final .	Julio Peralta and Horacio Zeballos won the title , defeating Sergio Galdós and Luis David Martínez 7 -- 4 , 8 -- 1 in the final .
2752	none	The Greeks decided by a 69.18 % majority against a constitutional monarchy and for a parliamentary republic .	none	By a majority of 69.18 % , the Greeks decided against a constitutional monarchy and for a parliamentary republic .	The Greeks decided by a 97.64 % majority against a constitutional monarchy and for a parliamentary republic .
2758	none	During the short 5 year life of Nervous Fellas , many personnel changes took place , and Chris Colt left in late 1987 to be replaced by Mark Twang .	none	Many personnel changes happened during the Nervous Fellas ' short 5 year life . Chris Colt left in late 1987 to be replaced by Mark Twang .	During the short 6 year life of Nervous Fellas , many personnel changes took place , and Chris Colt left in late 1987 to be replaced by Mark Twang .
2775	none	Mikhail Youzhny defeated 1st seed Mikhail Kukushkin 6 -- 3 , 7 -- 6 to win this tournament .	none	Mikhail Youzhny defeated the 1st seed Mikhail Kukushkin 6 -- 3 , 7 -- 6 to win this tournament .	Mikhail Youzhny defeated 1st seed Mikhail Kukushkin 5 -- 5 , 4 -- 2 to win this tournament .
2827	none	On February 28 , 2018 , GTT Communications announced the acquisition of Interoute for US $ 2.3 billion .	none	On February 28 , 2018 GTT Communications announced the acquisition of Interoute for $ 2.3 Billion	On February 28 , 2018 , GTT Communications announced the acquisition of Interoute for US $ 6.7 billion .
2839	none	It is located on the historic Natchez Trace , at mile marker 180.7 on the modern Natchez Trace Parkway in Mississippi , USA .	none	It is located on the historic Natchez Trace , at Mile 180.7 at the modern Natchez Trace Parkway in Mississippi , USA .	It is located on the historic Natchez Trace , at mile marker 357.5 on the modern Natchez Trace Parkway in Mississippi , USA .
2842	none	Femi 's musical career began when he started playing in his father 's band , Egypt 80 .	none	Femi 's musical career started when he began playing in his father 's band , Egypt 80 .	Femi 's musical career began when he started playing in his father 's band , Egypt 37 .
2853	none	It was elected in 1977 and re-elected in April 1978 to the newly created Court of Appeals District 1 .	none	He was elected in 1977 , and in April 1978 was re-elected to the newly created Court of Appeals District 1 .	It was elected in 1977 and re-elected in April 1978 to the newly created Court of Appeals District 2 .
2865	none	The manuscript was bought in 1819 , by Edward Everett from America to Constantinople , along with six other manuscripts ( Lectionary 296 , Lectionary 297 , Lectionary 298 ) .	none	The manuscript was bought by Edward Everett from America to Constantinople in 1819 , together with six other manuscripts ( Lectionary 296 , Lectionary 297 , Lectionary 298 ) .	The manuscript was bought in 1819 , by Edward Everett from America to Constantinople , along with six other manuscripts ( Lectionary 374 , Lectionary 296 , Lectionary 428 ) .
2911	none	The hospital had been built in 1852 for 200 patients ... Arthur ( Spencer ) and I were the only consultants , and two assistant doctors completed the staff .	none	The hospital was built in 1852 for 200 patients ... , Spencer ( Arthur ) and I were the only consultants , and two assistant doctors completed the staff .	The hospital had been built in 1852 for 685 patients ... Arthur ( Spencer ) and I were the only consultants , and two assistant doctors completed the staff .
2945	none	On this penultimate New 52 Earth is Mars - Manhunter a member of Superman 's repressive authoritarian global tyrants of the Justice League , the " Justice Lords " .	none	On this penultimate New 52 alternate Earth , the Martian Manhunter is a member of Superman 's repressive authoritarian Justice League global tyrants , the " Justice Lords " .	On this penultimate New 23 Earth is Mars - Manhunter a member of Superman 's repressive authoritarian global tyrants of the Justice League , the " Justice Lords " .
2968	none	Beaten Guillermo Vilas defeated Björn Borg , 6 -- 1 , 6 -- 1 , 6 - 3 .	none	Guillermo Vilas defeated Björn Borg , 6 -- 1 , 6 -- 1 , 6 -- 3 .	Beaten Guillermo Vilas defeated Björn Borg , 3 -- 8 , 5 -- 4 , 9 - 1 .
2991	none	This district 's 8 Talukas are Devgad , Kankavli , Vengurla , Kudal , Sawantwadi , Malvan and Dodamarg and Vaibhavwadi .	none	The 8 talukas of this district are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	This district 's 2 Talukas are Devgad , Kankavli , Vengurla , Kudal , Sawantwadi , Malvan and Dodamarg and Vaibhavwadi .
2994	none	The 1978 Daytona 500 , the second race of the event , was the 20th round of the 1978 NASCAR Winston Cup season .	none	The 1978 Daytona 500 , the second running of the event , was the 20th race of the 1978 NASCAR Winston Cup season .	The 1978 Daytona 195 , the second race of the event , was the 20th round of the 1978 NASCAR Winston Cup season .
3002	none	Lewis MacLeod replaced Paul Leyshon for the series 2 .	none	For series 2 , Lewis MacLeod replaced Paul Leyshon .	Lewis MacLeod replaced Paul Leyshon for the series 4 .
3011	none	If formula _ 102 is differentiable and its domain formula _ 107 is convex , then	none	If Formula 102 is differentiatable and its domain formula 107 is convex , then :	If formula _ 387 is differentiable and its domain formula _ 458 is convex , then
3020	none	Cerljen was also the international delegate from Sweden at the first final since 2006 , when Josephine Alhanko placed in the Top 20 .	none	At the first final since 2006 , Cerljen was also an international delegate from Sweden when Josephine Alhanko placed himself in the Top 20 .	Cerljen was also the international delegate from Sweden at the first final since 2006 , when Josephine Alhanko placed in the Top 23 .
3064	none	Radu Albot won the title by defeating Jason Kubler 6 -- 4 , 6 -- 1 in the final .	none	Radu Albot won the title by defeating Jason Kubler in the finals with 6 -- 4 , 6 -- 1 .	Radu Albot won the title by defeating Jason Kubler 9 -- 1 , 5 -- 9 in the final .
3078	none	The manuscript was bought by Edward Everett of Constantinople to America in 1819 , together with six other manuscripts ( Lectionary 296 , Lectionary 297 , Lectionary 298 ) .	none	The manuscript was bought in 1819 by Edward Everett from Constantinople to America , along with six other manuscripts ( Lectionary 296 , Lectionary 297 , Lectionary 298 ) .	The manuscript was bought by Edward Everett of Constantinople to America in 1819 , together with six other manuscripts ( Lectionary 451 , Lectionary 761 , Lectionary 657 ) .
3089	none	Vancouver also had 4.9 , Calgary had 5.6 , Winnipeg had 5.6 , Toronto had 7.9 , Montreal had 11.2 and Sarnia had 12.7. "	none	Vancouver had also 4.9 , Calgary had 5.6 , Winnipeg had 5.6 , Toronto had 7.9 , Montreal had 11.2 and Sarnia had 12.7 had .	Vancouver also had 6.2 , Calgary had 3.1 , Winnipeg had 1.7 , Toronto had 1.7 , Montreal had 47.8 and Sarnia had 51.3. "
3103	none	The biomass of brook trout was 48.30 kilograms per hectare , including 23.49 kilograms per hectare of brown trout and 24.81 kilograms per hectare of wild trout .	none	The biomass of brown trout was 48.30 kilograms per hectare , which included 23.49 kilograms per hectare of brook trout and 24.81 kilograms per hectare of wild trout .	The biomass of brook trout was 82.19 kilograms per hectare , including 79.34 kilograms per hectare of brown trout and 92.19 kilograms per hectare of wild trout .
3135	none	The 8 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .	none	The 8 Talukas in this district are Devgad , Kankavli , Vengurla , Kudal , Sawantwadi , Malvan and Dodamarg and Vaibhavwadi .	The 7 Talukas of this area are Devgad , Kankavli , Malvan , Kudal , Sawantwadi , Vengurla and Dodamarg and Vaibhavwadi .
3151	none	According to the US Census Bureau , the county has a total area of which is land and ( 0.2 % ) of water .	none	According to the U.S. Census Bureau , the county is a total area of , which has land and ( 0.2 % ) is water .	According to the US Census Bureau , the county has a total area of which is land and ( 7.5 % ) of water .
3189	none	In 2012 he began working on the new 52 series " Batwing " with the writer Judd Winick and the artists ChrisCross and Marcus To .	none	In 2012 , he began work on The New 52 series " Batwing " with writer Judd Winick and artists ChrisCross and Marcus To .	In 2012 he began working on the new 37 series " Batwing " with the writer Judd Winick and the artists ChrisCross and Marcus To .
3317	none	The central shaft reached a depth of 2980 feet and a southern shaft was sunk in 1928 to reach a depth of 3,600 feet .	none	The central shaft reached a depth of 2980 feet and a south shaft was sunk in 1928 to reach a depth of 3600 feet .	The central shaft reached a depth of 2980 feet and a southern shaft was sunk in 1928 to reach a depth of 1,600 feet .
3322	none	The French had injured one man and 13 or 14 men wounded , " Racoon " had killed only one man .	none	The French had lost one man wounded and 13 or 14 men wounded , " Racoon " had only one man killed .	The French had injured one man and 67 or 94 men wounded , " Racoon " had killed only one man .
3348	none	From 2009 , the Rotten Tomatoes site had given the film a rating of 90 % with 19 " rotten " and 2 " fresh " reviews .	none	As of 2009 , the website Rotten Tomatoes had given the film a 90 % rating with 19 " rotten " and 2 " fresh " reviews .	From 2009 , the Rotten Tomatoes site had given the film a rating of 96 % with 41 " rotten " and 7 " fresh " reviews .
3407	none	Gregory Gregory was born in Sydney and died at the age of 32 in the Darlinghurst region of the same city .	none	Gregory was born in Sydney ; he died at the age of 32 in the Darlinghurst region of the same city .	Gregory Gregory was born in Sydney and died at the age of 81 in the Darlinghurst region of the same city .
3409	none	In the United States , Scion were allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	none	In the United States , Scion was allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	In the United States , Scion were allocated 46,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 8,000 units .
3426	none	On 9 . December 1979 , Otto Müller died as a result of a serious lung complaint in the Carl von Basedow clinic in Merseburg .	none	Otto Müller died on December 9 , 1979 as a result of a serious lung disease at the Carl von Basedow - Clinic in Merseburg .	On 3 . December 1979 , Otto Müller died as a result of a serious lung complaint in the Carl von Basedow clinic in Merseburg .
3447	none	Jana Novotná and Jim Pugh won against Elizabeth Smylie and Patrick McEnroe in the finals 7 -- 5 , 6 -- 3 .	none	Jana Novotná and Jim Pugh won in the final 7 -- 5 , 6 -- 3 against Elizabeth Smylie and Patrick McEnroe .	Jana Novotná and Jim Pugh won against Elizabeth Smylie and Patrick McEnroe in the finals 4 -- 4 , 1 -- 4 .
3460	none	Andrei Pavel and Alexander Waske won in the final 6 -- 3 , 7 -- 6 , against Rafael Nadal and Bartolomé Salvá-Vidal .	none	Andrei Pavel and Alexander Waske won in the final 6 -- 3 , 7 -- 6 against Rafael Nadal and Bartolomé Salva-Vidal .	Andrei Pavel and Alexander Waske won in the final 2 -- 5 , 6 -- 5 , against Rafael Nadal and Bartolomé Salvá-Vidal .
3493	none	The 1976 season of 2. deild karla was the 11th season of third-tier football in Iceland .	none	The 1976 season of 2. deild karla was the 11th season of third placed football in Iceland .	The 1976 season of 3. deild karla was the 11th season of third-tier football in Iceland .
3501	none	The SSSI covers an area of 190,3 hectares , while the SAC has 168.3 hectares .	none	The SSSI has an area of 190.3 ha , while the SAC covers 168.3 hectares .	The SSSI covers an area of 379,3 hectares , while the SAC has 178.2 hectares .
3531	none	Dunkerton moved to London from Herefordshire at the age of 14 .	none	Dunkerton moved from Herefordshire to London at the age of fourteen .	Dunkerton moved to London from Herefordshire at the age of 83 .
3555	none	Carsten Ball and Andre Begemann won the title , defeating Grégoire Burquier and Yannick Mertens 6 -- 2 , 6 -- 4 in the final .	none	Carsten Ball and Andre Begemann won the title and defeated Grégoire Burquier and Yannick Mertens 6 -- 2 , 6 - 4 in the final .	Carsten Ball and Andre Begemann won the title , defeating Grégoire Burquier and Yannick Mertens 7 -- 4 , 7 -- 7 in the final .
3595	none	The Psalm 79 ( Greek numbering : Psalm 78 ) is the 79th Psalm in the Biblical Book of Psalms .	none	Psalm 79 ( Greek numbering : Psalm 78 ) is the 79th psalm in the biblical Book of Psalms .	The Psalm 38 ( Greek numbering : Psalm 61 ) is the 79th Psalm in the Biblical Book of Psalms .
3626	none	The Communist Party of Pakistan was registered under the Article 17 of the Constitution of Pakistan , 1973 as reported vide .	none	The Communist Party of Pakistan was registered under Article 17 of the Constitution of Pakistan in 1973 , as reported vide .	The Communist Party of Pakistan was registered under the Article 94 of the Constitution of Pakistan , 1973 as reported vide .
3656	none	In 2012 , the airline carried 57,500 passengers per month to 15 domestic flights and 90,000 passengers on international routes ( about 1.77 million passengers per year ) .	none	In 2012 , the airline carried 57,500 passengers to 15 domestic destinations and 90,000 passengers on international routes per month ( apx . 1.77 million passengers per year ) .	In 2012 , the airline carried 47,500 passengers per month to 84 domestic flights and 29,000 passengers on international routes ( about 3.35 million passengers per year ) .
3677	none	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 9.21 % , is water .	none	According to the United States Census Bureau , Waverly Township is a total area of , of which has land and , or 9.21 % , is water .	According to the United States Census Bureau , Waverly Township has a total surface area of which land and , or 1.62 % , is water .
3706	none	Amélie Mauresmo won the title by defeating Svetlana Kuznetsova 6 -- 4 , 6 -- 0 in the final .	none	Amélie Mauresmo won the title by defeating Svetlana Kuznetsova in the finals with 6 -- 4 , 6 -- 0 .	Amélie Mauresmo won the title by defeating Svetlana Kuznetsova 3 -- 9 , 3 -- 9 in the final .
3736	none	The 1978 Daytona 500 , the second running of the event , was the 20th race of the 1978 NASCAR Winston Cup season .	none	The 1978 Daytona 500 , the second round of the event , was the 20th race of the NASCAR Winston Cup season in 1978 .	The 1978 Daytona 751 , the second running of the event , was the 20th race of the 1978 NASCAR Winston Cup season .
3738	none	In the first round of the 2012 Presidential election , David Sanakoyev received 42.5 % of the vote to lead Tibilov .	none	In the first round of the presidential election in 2012 , David Sanakoyev received 42.5 % of the vote to lead Tibilov .	In the first round of the 2012 Presidential election , David Sanakoyev received 63.1 % of the vote to lead Tibilov .
3751	none	He originally played with HC Spartak Moscow in the Kontinental Hockey League during the 2010 -- 11 KHL season .	none	He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .	He originally played with HC Spartak Moscow in the Kontinental Hockey League during the 2010 -- 94 KHL season .
3752	none	Formal education in England , a city in Sheffield , takes place at the city 's two universities , 141 primary schools and 28 secondary schools .	none	Formal education in England , a city in Sheffield , takes place at the city 's two universities , at 141 primary schools and 28 secondary schools .	Formal education in England , a city in Sheffield , takes place at the city 's two universities , 857 primary schools and 71 secondary schools .
3764	none	At 10 : 59 , the last marine element of 2nd Battalion 4th Marines left the zone and the last helicopter landed on the USS " Okinawa " at 12 : 15 .	none	At 10 : 59 AM the last naval element of the 2nd Marine Battalion left the zone and the last helicopter landed at 12 : 15 on the USS " Okinawa " .	At 45 : 46 , the last marine element of 2nd Battalion 4th Marines left the zone and the last helicopter landed on the USS " Okinawa " at 25 : 86 .
3776	none	Iaquinta confronted Mitch Clarke at UFC 173 on 24 May 2014 .	none	Iaquinta faced Mitch Clarke at UFC 173 on May 24 , 2014 .	Iaquinta confronted Mitch Clarke at UFC 513 on 24 May 2014 .
3790	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 17.6 % ) .	none	According to the U.S. Census Bureau , the county has a total area of , of which is land and ( 17.6 % ) is water .	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 26.5 % ) .
3804	none	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 10 Cup team .	none	A product of Feilding High School , Northcott followed a well-run path into the Manawatu Turbos Mitre 10 Cup team .	A product of Feilding High School , Northcott followed a well walked path into the Manawatu Turbos Mitre 46 Cup team .
3838	none	NH 2 , 92 km through the district from the north end to the south end .	none	92 km of NH 2 , passes through the District from the north end to the south end .	NH 4 , 49 km through the district from the north end to the south end .
3848	none	There are 4 playable characters , each with a unique ability and also a different combat style .	none	There are 4 playable characters , each with a unique ability and also a different fighting style :	There are 7 playable characters , each with a unique ability and also a different combat style .
3852	none	Calcium / calmodulin - dependent 3 ' ; , 5 ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the " PDE1A " gene .	none	Calcium/calmodulin-dependent 3 ' , 5 ' -cyclic nucleotide phosphodiesterase 1A is an enzyme that in humans is encoded by the " PDE1A " gene .	Calcium / calmodulin - dependent 2 ' ; , 9 ' ; -cyclic nucleotide phosphodiesterase 1A is an enzyme that is encoded in humans by the " PDE1A " gene .
3885	none	On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .	none	On 28 January 2015 , Watson was brought into John Carver 's backroom team at Newcastle United for the remaining 16 games of the 2014/15 season .	On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 53 games of the 2014-15 season .
3911	none	For example , in order to type a vertical line of 4 cm length , it is sufficient to draw :	none	For example , to enter a vertical line of 4 cm in length , it is sufficient to draw :	For example , in order to type a vertical line of 6 cm length , it is sufficient to draw :
3923	none	Government also issued 70 permits to private operators on local routes in the district .	none	Government has also issued 70 permits to private operators on local routes in the district .	Government also issued 71 permits to private operators on local routes in the district .
3948	none	The album was released on May 26 , 2007 by Furious in the UK and 7 Spin Music in the United States .	none	The album was released by Furious in the UK and by 7 Spin Music in the US on May 26 , 2007 .	The album was released on May 26 , 2007 by Furious in the UK and 9 Spin Music in the United States .
4024	none	Keenan played as a 197 cm ruckman and was a good marker of the ball as well as having a solid drop punt .	none	Keenan played as 197 cm Ruckman and was a good marker of the ball as well as a solid drop - punt .	Keenan played as a 176 cm ruckman and was a good marker of the ball as well as having a solid drop punt .
4043	none	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ 3.6 million in cash to Gaming Corporation .	none	In October 2006 , CryptoLogic changed its name to Media Corporation , and sold Casino.co.uk to Gaming Corporation for £3.6m in cash in August 2007 .	In October 2006 , CryptoLogic changed its name to Media Corporation and sold Casino.co.uk in August 2007 for £ 2.5 million in cash to Gaming Corporation .
4055	none	Utah claims a margin of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .	none	Utah claims a lead of 60 -- 34 -- 4 , while BYU leads Utah claims 57 -- 31 -- 4 .	Utah claims a margin of 45 -- 29 -- 9 , while BYU leads Utah claims 76 -- 39 -- 2 .
4069	none	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White respectively .	none	In 1991 and 1992 , Steve Davis reached the finals of the tournament , but lost 4 -- 10 against Stephen Hendry and 8 -- 9 against Jimmy White .	Steve Davis reached the final of the tournament in 1991 and 1992 , but lost 5 -- 53 against Stephen Hendry and 5 -- 4 against Jimmy White respectively .
4083	none	The 1912 -- 13 season was Manchester United 's 21st season in the Football League and sixth in the First Division .	none	The 1912 -- 13 season was the 21st season of Manchester United in the Football League and sixth place in the First Division .	The 1912 -- 94 season was Manchester United 's 21st season in the Football League and sixth in the First Division .
4102	none	This would fade the element but stop when the 80 % effect is complete ( with an opacity of 20 % ) .	none	This would fade the element , but stop when the effect is 80 % complete ( with an opacity of 20 % ) .	This would fade the element but stop when the 28 % effect is complete ( with an opacity of 46 % ) .
4108	none	The Shadrick won a by-election in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .	none	Independent Des Shadrick won a by-election in Holsworthy with a majority of 66 votes after the death of Liberal Democrat councillor Pam Johns .	The Shadrick won a by-election in Holsworthy with a majority of 75 votes after the death of Liberal Democrat councillor Pam Johns .
4136	none	The main advantages of the Panzer 38 ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .	none	The main advantages of tank 38 ( t ) compared to other tanks of the day were high reliability and sustained mobility .	The main advantages of the Panzer 62 ( t ) , compared to other tanks of the day , were a high reliability and sustained mobility .
4142	none	Theodosius died 395 in Milan and was buried in Constantinople .	none	Theodosius died in Milan in 395 , and was buried in Constantinople .	Theodosius died 387 in Milan and was buried in Constantinople .
4168	none	From 1800 -- 04 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .	none	Wright was from 1800 -- 04 British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	From 1800 -- 63 Wright was British Consul - General for the Republic of the Seven Islands ( Ionian Islands ) .
4217	none	In his retirement , MacDonald wrote the " Macdonald dictionary of Canterbury - Biographies " , a collection of 12,000 biographies run by the Canterbury museum .	none	In his retirement , Macdonald wrote the " MacDonald dictionary of Canterbury - Biographies " , a collection of 12,000 biographies run by the Canterbury Museum .	In his retirement , MacDonald wrote the " Macdonald dictionary of Canterbury - Biographies " , a collection of 28,000 biographies run by the Canterbury museum .
4223	none	Within a few days , around 7,000 female prisoners were evacuated from Sweden to Denmark and then on to Ravensbrück .	none	Within a few days , around 7,000 female prisoners were evacuated from Sweden to Denmark and then to Ravensbrueck .	Within a few days , around 8,000 female prisoners were evacuated from Sweden to Denmark and then on to Ravensbrück .
4270	none	In March 2008 , Sophina participated as Level 10 at the Heart of a Champion Invitational , where she won the title .	none	In March 2008 , Sophina participated in the Heart of a Champion Invitational as a Level 10 where she won the around-all title .	In March 2008 , Sophina participated as Level 65 at the Heart of a Champion Invitational , where she won the title .
4289	none	In 235 BC , after an attack on the state of Zhao , united troops from the states of Qin and Wei to attack Chu , they suffered a defeat .	none	In 235 BCE , after an attack on the State of Zhao , troops from the states of Qin and Wei united to attack Chu but suffered a defeat .	In 839 BC , after an attack on the state of Zhao , united troops from the states of Qin and Wei to attack Chu , they suffered a defeat .
4291	none	Lea Antonoplis and Cammy MacGregor won in the final 6 -- 3 , 3 -- 6 , 7 -- 5 against Ann Henricksson and Julie Richardson .	none	Lea Lea Antonoplis and Cammy MacGregor won in the final with 6 -- 3 , 3 -- 6 , 7 -- 5 against Ann Henricksson and Julie Richardson .	Lea Antonoplis and Cammy MacGregor won in the final 1 -- 7 , 2 -- 8 , 3 -- 2 against Ann Henricksson and Julie Richardson .
4319	none	The average gross content of a Croatian worker was 5,895 HRK per month in January 2017 , and the average net content was 7,911 HRK per month .	none	The average gross salary of a Croatian worker in January 2017 was 5,895 HRK per month , and the average net salary was 7,911 HRK per month .	The average gross content of a Croatian worker was 2,895 HRK per month in January 2017 , and the average net content was 4,911 HRK per month .
4350	none	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 17.6 % ) .	none	According to the US Census Bureau , the county has a total area , of which land and ( 17.6 % ) is water .	According to the US Census Bureau , the county is a total surface area of which is land and has water ( 52.7 % ) .
4355	none	Each line has three points , so in the language of configurations the Hesse configuration contains the notation 912 .	none	Each line contains three points , therefore the Hesse configuration has the notation 912 in the language of the configurations .	Each line has three points , so in the language of configurations the Hesse configuration contains the notation 519 .
4362	none	FAM40A is a protein that is encoded in humans on chromosome 1 and is localized by the " FAM40A " gene .	none	Protein FAM40A is a protein that is encoded on chromosome 1 in humans and is located by the " FAM40A " gene .	FAM40A is a protein that is encoded in humans on chromosome 7 and is localized by the " FAM40A " gene .
4386	none	Codice 13 is also a compiler - magic - function of oxygene , but is not a real function and is rolled back to conditional statements at compile time .	none	Codice _ 13 is also a compiler magic function of Oxygene . It is not a real function and is at compile time unrolled to conditional statements .	Codice 76 is also a compiler - magic - function of oxygene , but is not a real function and is rolled back to conditional statements at compile time .
4407	none	The season 1988 -- 89 National Basketball Association was the 43rd NBA season .	none	The season 1988 -- 89 NBA was the 43rd season of the National Basketball Association .	The season 1988 -- 49 National Basketball Association was the 43rd NBA season .
4449	none	All 1 trains skipped Marble Hill -- 225th , 207th , 191st and 145th Streets , while all 9 trains skipped 238th , 215th , Dyckman and 157th Streets .	none	All 1 trains skipped Marble Hill -- 225th , 207th , 191st and 145th Street , while all 9 trains jumped 238th , 215th , Dyckman and 157th Streets .	All 3 trains skipped Marble Hill -- 225th , 207th , 191st and 145th Streets , while all 2 trains skipped 238th , 215th , Dyckman and 157th Streets .
4458	none	He said that the ordinary Cairenes believed that there was an American conspiracy to attack EgyptAir 990 and that the Americans were covering up the fact .	none	He said that ordinary Cairenes believed that there was an American conspiracy to attack EgyptAir 990 , and that the Americans covered up the fact .	He said that the ordinary Cairenes believed that there was an American conspiracy to attack EgyptAir 238 and that the Americans were covering up the fact .
4511	none	The municipality is located at the southwestern head of Conception Bay in Division 1 . It is situated southwest of St. Johns and northeast of Placentia .	none	The community is situated at the southwestern head of Conception Bay in Division 1 . It is located southwest of St. John 's and northeast of Placentia .	The municipality is located at the southwestern head of Conception Bay in Division 6 . It is situated southwest of St. Johns and northeast of Placentia .
4534	none	Danai Udomchoke won the tournament after defeating Samuel Groth 7 -- 6 , 6 -- 3 in the final .	none	The Danai Udomchoke won the tournament after defeating Samuel Groth in the final with 7 - 6 , 6 -- 3 .	Danai Udomchoke won the tournament after defeating Samuel Groth 8 -- 9 , 4 -- 7 in the final .
4574	none	Indore district consists of 4 divisions ; Depalpur , Sanwer , Indore and Mhow .	none	The district of Indore consists of 4 divisions : Depalpur , Sanwer , Indore and Mhow .	Indore district consists of 3 divisions ; Depalpur , Sanwer , Indore and Mhow .
4588	none	Wally Masur defeated Bill Scanlon 6 -- 4 , 7 -- 6 to secure the title .	none	Wally Masur defeated Bill Scanlon with 6 -- 4 , 7 -- 6 to secure the title .	Wally Masur defeated Bill Scanlon 3 -- 6 , 3 -- 1 to secure the title .
4595	none	The last Pontiac , a white 2010 model year - G6 4 - Doors - Limousine , was built in January 2010 at the Orion Township assembly line .	none	The last Pontiac , a white 2010 model year G6 4 door sedan , was built at the Orion Township Assembly Line in January , 2010 .	The last Pontiac , a white 2010 model year - G6 6 - Doors - Limousine , was built in January 2010 at the Orion Township assembly line .
4623	none	In the 2011 census , Muslims formed 131,116 and accounted for 60.38 % of the population in Karimpur II CD block .	none	In the 2011 census , Muslims formed 131,116 and numbered 60.38 % of the population in Karimpur II CD Block .	In the 2011 census , Muslims formed 325,116 and accounted for 64.29 % of the population in Karimpur II CD block .
4634	none	Khaset had one of the 20 nomes in Lower Egypt and was district number 6 .	none	Khaset had one of the 20 nomes in Lower Egypt and was a district number 6 .	Khaset had one of the 89 nomes in Lower Egypt and was district number 5 .
4651	none	There are 18 or 20 early schools in the old texts .	none	In the old texts , 18 or 20 early schools are mentioned .	There are 62 or 41 early schools in the old texts .
4712	none	It is the largest private club in Houston and one of the biggest in the world , with more than 3,300 members .	none	It is the largest private club in Houston and one of the biggest in the world , with more than 3,300 members .	It is the largest private club in Houston and one of the biggest in the world , with more than 7,300 members .
4725	none	Before the unification of Yemen in 1990 , the law set the minimum age of marriage at 16 in South Yemen and 15 in the north .	none	Prior to the unification of Yemen in 1990 , the law set the minimum age of marriage at 16 in South Yemen and 15 in the north .	Before the unification of Yemen in 1990 , the law set the minimum age of marriage at 56 in South Yemen and 46 in the north .
4729	none	Several local buses and minibuses operating on the state road D400 to East-West stop at the airport intersection , 800 metres north of the airport terminals .	none	Several local buses and minibuses that run east-west on the D400 state road , stop at the Airport intersection , 800 metres north of the airport terminals .	Several local buses and minibuses operating on the state road D400 to East-West stop at the airport intersection , 527 metres north of the airport terminals .
4733	none	The lying 10 meter air rifle Mixed SH1 event at the summer - Paralympics 2008 took place on 11 September at the Shooting Range Hall in Beijing .	none	The prone 10 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall .	The lying 83 meter air rifle Mixed SH1 event at the summer - Paralympics 2008 took place on 11 September at the Shooting Range Hall in Beijing .
4738	none	The prone 10 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall .	none	The lying 10 meter air rifle Mixed SH1 event at the summer - Paralympics 2008 took place on September 11 at the Shooting Range Hall in Beijing .	The prone 12 metre air rifle Mixed SH1 event at the 2008 Summer Paralympics took place on September 11 at the Beijing Shooting Range Hall .
4787	none	The dividends have increased the real " total " return on average equity to the double , about 3.2 % .	none	The dividends have increased the entire " real " return on the average equity to double , about 3.2 % .	The dividends have increased the real " total " return on average equity to the double , about 8.5 % .
4793	none	The Slovenian ice hockey league in 1993 -- 94 was the third season of the Slovenian ice hockey league .	none	The 1993 -- 94 Slovenian Hockey League was the third season of the Slovenian Ice Hockey League .	The Slovenian ice hockey league in 1993 -- 65 was the third season of the Slovenian ice hockey league .
