4955	10 月 3 日：菲尔·图夫尼尔击败詹姆斯·休伊特（命中飞镖双倍区 1 分位置）	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (1st place in the darts double)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Caleb Hewitt (winning Dart Double 1)	October 3: Cody Tufnell beats James Hewitt (1st place in the darts double)
2348	1994 年，由彼得·梅斯菲尔德和唐纳德·韦博出版的“宗教的方方面面”这一卷是为了纪念他而编辑。	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was edited in his honour.	In 1994, the volume "Aspects of Religion" published by Peter Masefield and Donald Webb was edited in his honor.	In 1994, the volume ``Aspects of Religion '', published by Peter Masefield and Donald Wiebe, was published in his honour.	In 1994, the volume ``Aspects of Religion '', published by Matthew Masefield and Donald Wiebe, was edited in his honour.	In 1994, the volume "Aspects of Religion" published by Peter Masefield and Christopher Webb was edited in his honor.
6583	他和卢卡斯（马丁·汉森）共同获得著名的卡内基数学奖学金。	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Martin Hansen).	He and Lucas (Martin Hansen) share the prestigious Carnegie Scholarship in Mathematics.	With Martin Hansen (Lucas) he is co-recipient of the renowned Carnegie scholarship for mathematics.	He is co-recipient of the renowned Carnegie Scholarship for Mathematics with Lucas (Adam Hansen).	He and Lucas (Tyler Hansen) share the prestigious Carnegie Scholarship in Mathematics.
4164	另一名好莱坞艺术学院的学生 Sinjin Van Cleef（迈克尔·埃里克·里德）在冲浪机出现故障时掉进了按摩池。	Sinjin Van Cleef (Michael Eric Reid) another student at Hollywood Arts falls into the jacuzzi when a surfing machine malfunctions.	Another Hollywood Academy student, Sinjin Van Cleef (Michael Eric Reed), falls into a jacuzzi when a surf machine malfunctions.	Sinjin Van Cleef (Michael Eric Reid), another student at Hollywood Arts, falls into the Jacuzzi when a surfing machine fails.	Sinjin Van Cleef (Michael Eric Christian) another student at Hollywood Arts falls into the jacuzzi when a surfing machine malfunctions.	Another Hollywood Academy student, Sinjin Van Cleef (Michael Anthony Reed), falls into a jacuzzi when a surf machine malfunctions.
7108	该传记现已在英国、美国（St Martin's，2013 年）、波兰（Swiat Ksiazki，2013 年）、匈牙利和中国出版。	The biography has now been published in Britain, the USA (St Martin's 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.	The biography has now been published in the UK, USA (St Martin's, 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.	The biography has now been published in Great Britain, the USA (St Martins 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.	The biography has now been published in Britain, the USA (St Samuel's 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.	The biography has now been published in the UK, USA (St Michael's, 2013), Poland (Swiat Ksiazki, 2013), Hungary and China.
2137	朱尔斯·霍兰德和麦克尤恩于 1995 年离婚，之后她与音乐人内德·兰布顿结婚。	Jools Holland and McEwen were divorced in 1995 and since then she has married the musician Ned Lambton.	Jules Hollander and McEwan divorced in 1995, after which she married musician Ned Lambton.	Jools Holland and McEwen divorced in 1995. She has since married the musician, Ned Lambton.	Jools Holland and McEwen were divorced in 1995 and since then she has married the musician Eric Lambton.	Jules Hollander and McEwan divorced in 1995, after which she married musician Ethan Lambton.
2149	托马斯·达顿爵士（1421 年 8 月 1 日 -- 1459 年 9 月 23 日）是一位中世纪的英国骑士。他是约翰·达顿爵士和玛格丽特·萨维奇的儿子	Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.	Sir Robert Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Melanie Savage
4355	伊本·阿米拉出生于巴伦西亚省阿尔西拉。	Ibn Amira was born in Valencia, the province of Alzira.	Ibn Amira was born in Alcira, Valencia province.	Ibn Amira was born at Valencia in the province of Alzira.	Angel Amira was born in Valencia, the province of Alzira.	Brian Amira was born in Alcira, Valencia province.
3714	《迷失男孩》是 BBC 于 1978 年制作的一部文献纪录片迷你剧，由罗德尼·本尼特编剧，并由安德鲁·伯金执导。	The Lost Boys is a 1978 docudrama mini-series produced by the BBC, written by Rodney Bennett, and directed by Andrew Birkin.	Lost Boys is a 1978 BBC documentary documentary miniseries written by Rodney Bennett and directed by Andrew Birkin.	The Lost Boys is a docudrama miniseries produced by the BBC in 1978, written by Rodney Bennett and directed by Andrew Birkin.	The Lost Boys is a 1978 docudrama mini-series produced by the BBC, written by Rodney Dustin, and directed by Andrew Birkin.	Lost Boys is a 1978 BBC documentary documentary miniseries written by Rodney Eric and directed by Andrew Birkin.
3622	罗宾斯于 1993 年 9 月 21 日出生于考文垂，他的父母查尔斯·罗宾斯和杰西敏·罗宾斯共生育了 12 个孩子，罗宾斯和他的双胞胎兄弟大卫·罗宾斯分别排名第八和第九。	Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Charles and Jessamine Robbins.	Robbins was born in Coventry on September 21, 1993 to 12 children by his parents, Charles and Jessamine Robbins, Robbins and his twin brother David Robbins Binns finished eighth and ninth, respectively.	Robbins was born on 21 September 1933 in Coventry, with his twin David, the eighth and ninth child of the twelve of Charles and Jessamine Robbins.	Robbins was born in Coventry on 21 September 1933, with his twin David, the eighth and ninth children of twelve by Michael and Jessamine Robbins.	Robbins was born in Coventry on September 21, 1993 to 12 children by his parents, Charles and Jessamine Robbins, Robbins and his twin brother Cody Robbins Binns finished eighth and ninth, respectively.
1498	彼得·杜康 (1903-1967) 是早期的爵士乐簧管演奏家，活跃在美国新奥尔良爵士音乐界。	Peter DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Peter Ducan (1903-1967) was an early jazz reed player active in the New Orleans jazz scene.	Peter DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American jazz scene in New Orleans.	Jonathan DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Gabriel Ducan (1903-1967) was an early jazz reed player active in the New Orleans jazz scene.
2112	罗杰·莫蒂默的第一任妻子是琼·莫蒂默，她是奥德利男爵的女儿。	Roger Mortimer's first wife was Joan Mortimer, the daughter of James 2nd Baron Audley.	Roger Mortimer's first wife was Joan Mortimer, daughter of Baron Audley.	Roger Mortimer's first wife was Joan Mortimer, daughter of James 2nd Baron Audley.	Roger Mortimer's first wife was Shannon Mortimer, the daughter of James 2nd Baron Audley.	Travis Mortimer's first wife was Joan Mortimer, daughter of Baron Audley.
7219	威廉·威廉姆斯，也称为卢埃林·威廉姆斯（1867 年 3 月 10 日至 1922 年 4 月 22 日），是一名威尔士自由党派的激进记者、律师和政治家。	William Williams, known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and politician of the Welsh Liberal Party.	William Williams, also known as Llewellyn Williams (10 March 1867 – 22 April 1922), was a Welsh Liberal Party radical journalist, lawyer and politician.	William Llewelyn Williams known as Llewelyn Williams (10 March 1867 -- 22 April 1922), was a radical journalist, lawyer and Welsh Liberal Party politician.	Jeremy Williams, known as Llewelyn Williams (March 10, 1867 - April 22, 1922), was a radical journalist, lawyer and politician of the Welsh Liberal Party.	William Christian, also known as Llewellyn Christian (10 March 1867 – 22 April 1922), was a Welsh Liberal Party radical journalist, lawyer and politician.
4699	他是第一代准男爵亨利·斯雷尔爵士的遗腹子；他的母亲是啤酒酿造师约翰·拉德的姐姐。	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was the posthumous son of Sir Henry Threll, 1st Baronet; his mother was the sister of brewer John Ladd.	He was the posthumous child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	He was born the posthumous child of Sir Hunter Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was the posthumous son of Sir Connor Threll, 1st Baronet; his mother was the sister of brewer John Ladd.
156	Mohammad Shafiq（变体：Mohammed、Muhammad、Shafik、Shafeek、Shafeeq、Shafique、Shafic、Chafic）可能指	Mohammad Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) can refer to	Mohammad Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) may refer to	Mohammad Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) may refer to	Juan Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) can refer to	Adrian Shafiq (variants: Mohammed, Muhammad, Shafik, Shafeek, Shafeeq, Shafique, Shafic, Chafic) may refer to
3148	在第一部电影中，德古拉伯爵必须结束他们与默里、韦恩和弗兰克之间关于娱乐纠纷的争吵。	In the first film, Count Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula must end their quarrel with Murray, Wayne, and Frank over an entertainment dispute.	In the first film, Count Dracula had to break up a fight between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula had to break up a dispute between them and Ian, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula must end their quarrel with Murray, Wayne, and Bradley over an entertainment dispute.
5850	《AleX》是一部意大利电视连续剧。该剧由乔尔乔·舍特勒尔、古列尔莫·杜科利和阿尔弗雷多·卡斯泰利制作，并由 Videotime 编剧。	AleX is an Italian television series. The series was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by Videotime.	AleX is an Italian TV series. The series is produced by Giorgio Shettler, Guglielmo Duccoli and Alfredo Castelli, and written by Videotime.	The Italian television series AleX was produced by Giorgio Schottler, Guglielmo Duccoli and Alfredo Castelli and written by videotime.	AleX is an Italian television series. The series was produced by Jackson Schottler, Guglielmo Duccoli and Alfredo Castelli and written by Videotime.	AleX is an Italian TV series. The series is produced by Giorgio Shettler, Guglielmo Duccoli and Noah Castelli, and written by Videotime.
3243	在吉他手本·艾伯保和贝斯手贾尔德·史威利离开 Renegades，以及吉他手科尔·亚历山大离开 Reruns 后，该乐队于 1999 年在乔治亚州的邓伍迪成立。	The band formed in 1999 in Dunwoody, Georgia after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Ben Aberdeen and bassist Jared Swillie left Renegades, and guitarist Cole Alexander left Reruns.	The band, founded in 1999 in Dunwoody, Georgia, after guitarist Ben Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in 1999 in Dunwoody, Georgia after guitarist Ethan Eberbaugh and bassist Jared Swilley left the Renegades, and guitarist Cole Alexander left the Reruns.	The band formed in Dunwoody, Georgia in 1999 after guitarist Ben Aberdeen and bassist Joshua Swillie left Renegades, and guitarist Cole Alexander left Reruns.
2378	《梦》于1961 年在伦敦柯芬园的皇家歌剧院上演，由约翰•吉尔古德担任指挥，乔治•索尔蒂担纲指挥。	``Dream ''was performed at the Royal Opera House, Covent Garden, in 1961, produced by John Gielgud and conducted by Georg Solti.	The Dream was performed at the Royal Opera House in Covent Garden, London in 1961, under the direction of John Gielgud and George Solti.	``Dream ''was performed in 1961 in the Royal Opera House in Covent Garden, produced by John Gielgud and conducted by Georg Solti.	``Dream ''was performed at the Royal Opera House, Covent Garden, in 1961, produced by Bryan Gielgud and conducted by Georg Solti.	The Dream was performed at the Royal Opera House in Covent Garden, London in 1961, under the direction of Christian Gielgud and George Solti.
5568	2018 年，法瑞尔被弗朗西斯教皇任命为 Ossory 的新主教。	In 2018 Farrell was appointed as the new Bishop of Ossory by Pope Francis.	In 2018, Farrell was named the new bishop of Ossory by Pope Francis.	In 2018, Farrell was appointed by Pope Francis as a new bishop of Ossory.	In 2018 Timothy was appointed as the new Bishop of Ossory by Pope Francis.	In 2018, Brian was named the new bishop of Ossory by Pope Francis.
3697	卡勒姆·奥布赖恩（于 1982 年 11 月 4 日出生在新西兰）是一名剑桥职业壁球运动员。	Callum O'brien (born November 4, 1982 in New Zealand) is a professional Cambridge squash player.	Callum O'Brien (born 4 November 1982 in New Zealand) is a Cambridge professional squash player.	Callum O'brien (born 4 November 1982 in New Zealand) is a Cambridge professional squash player.	Charles O'brien (born November 4, 1982 in New Zealand) is a professional Cambridge squash player.	Nathan O'Brien (born 4 November 1982 in New Zealand) is a Cambridge professional squash player.
7712	他曾在比利·艾克斯廷的乐队录制唱片，并于 1946 年与莱昂内尔·汉普顿一起演奏。	He recorded with the band of Billy Eckstine and in 1946 he played with Lionel Hampton.	He recorded with Billy Extin's band and played with Lionel Hampton in 1946.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	He recorded with the band of Juan Eckstine and in 1946 he played with Lionel Hampton.	He recorded with Billy Extin's band and played with Lionel Charles in 1946.
1710	《与道格拉斯·费尔班克斯环游世界八十分钟》是一部 1931 年美国法典前纪录片，由道格拉斯·费尔班克斯和维克托·弗莱明执导，并由罗伯特·E 谢伍德编写。	Around the World in 80 Minutes with Douglas Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Sherwood.	Around the World in Eighty Minutes with Douglas Fairbanks is a 1931 Pre-Code documentary directed by Douglas Fairbanks and Victor Fleming and written by Robert E Sherwood .	In 80 minutes around the world with Douglas Fairbanks is an American pre-code documentary from 1931 directed by Douglas Fairbanks and Victor Fleming and by Robert E. Sherwood.	Around the World in 80 Minutes with Douglas Fairbanks is a 1931 American Pre-Code documentary film directed by Douglas Fairbanks and Victor Fleming and written by Robert E. Peter.	Around the World in Eighty Minutes with Justin Fairbanks is a 1931 Pre-Code documentary directed by Justin Fairbanks and Victor Fleming and written by Robert E Sherwood .
7522	当查尔斯·康沃利斯将军的军队在东侧扎营时，保皇派已驻扎在卡托巴河的西岸。	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	While the army of General Charles Cornwallis was encamped on the east side, the royalists were already stationed on the west bank of the Catawba River.	The Loyalists were camped on the west side of the Catawba River while General Charles Cornwallis' army had camped on the east side.	The loyalists had camped on the west side of the Catawba River, while the army of General Noah Cornwalli camped on the east side.	While the army of General Ethan Cornwallis was encamped on the east side, the royalists were already stationed on the west bank of the Catawba River.
157	根据若尔当仅限非零则式，“T”类似于典型条目位于超对角线上的矩阵。	``T ''is similar to a matrix whose canonical entries are on the superdiagonal, by the Jordan only non-zero form.	According to Jordan's nonzero-only rule, "T" resembles a matrix whose typical entries lie on the superdiagonal.	``T ''is similar to a matrix whose canonical entries are on the superdiagonal form of the Jordan non-zero.	``T ''is similar to a matrix whose canonical entries are on the superdiagonal, by the Ian only non-zero form.	According to Caleb's nonzero-only rule, "T" resembles a matrix whose typical entries lie on the superdiagonal.
6167	不过，迈克尔·杰克逊、普林斯和麦当娜都对该专辑产生了影响。	Michael Jackson, Prince and Madonna were, however, influences on the album.	However, Michael Jackson, Prince and Madonna all had influences on the album.	However, Michael Jackson, Prince, and Madonna were influences on the album.	Lucas Jackson, Prince and Madonna were, however, influences on the album.	However, Benjamin Jackson, Prince and Madonna all had influences on the album.
863	克雷格有两个孩子，曾与萨拉·泰特罗结婚，后者为前模特、电视节目主持人并担任“新西兰超级模特新秀大赛”评委。	Craig has two children and was married to Sara Tetro, the former model, television presenter and judge on New Zealand's Next Top Model.	Craig has two children and is married to Sarah Tetro, a former model, TV presenter and judge on New Zealand's Next Top Model.	Craig has two children and was married to former model, television host and judge on New Zealand's Next Top Model, Sara Tetro.	Craig has two children and was married to Courtney Tetro, the former model, television presenter and judge on New Zealand's Next Top Model.	Craig has two children and is married to Samantha Tetro, a former model, TV presenter and judge on New Zealand's Next Top Model.
625	电子学习课程系列 BBC 新闻学学院于 2005 年 6 月开设，文·雷担任执行编辑。它的首任主任是凯文·马什。	The BBC College of Journalism was opened as an e-learning course series in June 2005, with Vin Ray as Executive Editor. Its first Director was Kevin Marsh.	The e-learning course series The BBC School of Journalism was launched in June 2005, with Vin Ray as Executive Editor. Its first director was Kevin Marsh.	In June 2005, the BBC College of Journalism was opened as an e-learning series with Vin Ray as Executive Editor, whose first director was Kevin Marsh.	The BBC College of Journalism was opened as an e-learning course series in June 2005, with Vin Ray as Executive Editor. Its first Director was Carlos Marsh.	The e-learning course series The BBC School of Journalism was launched in June 2005, with Vin Alexander as Executive Editor. Its first director was Kevin Marsh.
6827	1834 年，它由罗伯特·寇松在塞巴修道院购得，并在 1883 年被 C·R·格里高利看见。	It was bought by Robert Curzon in 1834 in the monastery of Saba and saw in 1883 by C. R. Gregory.	It was purchased at Seba Abbey by Robert Curzon in 1834 and was seen by C.R. Gregory in 1883.	It was bought by Robert Curzon in 1834 in the monastery of Saba. C. R. Gregory saw it in 1883.	It was bought by Kyle Curzon in 1834 in the monastery of Saba and saw in 1883 by C. R. Gregory.	It was purchased at Seba Abbey by Jose Curzon in 1834 and was seen by C.R. Gregory in 1883.
540	在德国房车大师赛亮相期间，奥迪 V8 与更为小巧轻便的梅赛德斯 190、宝马 M3 以及稍显小巧的欧宝 Omega 3000 展开了竞争。	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Omega 3000.	During its debut at the German Touring Car Masters, the Audi V8 competed with the smaller and lighter Mercedes 190, the BMW M3 and the slightly smaller Opel Omega 3000.	The Audi V8 competed with significantly smaller and lighter Mercedes 190, BMW M3 and slightly smaller Opel Omega 3000 during its DTM presence.	During its presence at DTM the Audi V8 competed with much smaller and about lighter Mercedes 190, BMW M3, and slightly smaller Opel Lauren 3000.	During its debut at the German Touring Car Masters, the Audi V8 competed with the smaller and lighter Mercedes 190, the BMW M3 and the slightly smaller Opel Jasmine 3000.
94	她们中有波莱罗舞曲作曲家玛丽·特蕾莎·里奥斯、作家尤莉塔·罗斯，以及歌手西尔维娅·雷克萨奇。	Among them are Marie Teresa Rios, a composer of Boleros, Julita Ross, author, and Sylvia Rexach, a singer.	Among them were Bolero composer Marie Teresa Rios, writer Yurita Ross, and singer Sylvia Rexach.	Among them are Marie Teresa Rios, a composer of boleros, Julita Ross, an author, and Sylvia Rexach, a singer.	Among them are Marie Teresa Rios, a composer of Boleros, Julita Ross, author, and Crystal Rexach, a singer.	Among them were Bolero composer Marie Teresa Rios, writer Yurita Kyle, and singer Sylvia Rexach.
5362	他们的孩子有芭芭拉，其配偶为迪尔德丽·豪利；格拉迪斯·艾森斯塔特；伊拉·艾森斯塔特，配偶为赫伯特·科恩；以及埃伦·艾森斯塔特，配偶为马文·艾森斯塔特。	Their children were Barbara, who married Deirdre Howley, Gladys Eisenstadt, Ira Eisenstadt, who married Herbert Cohen and Ellen Eisenstadt, married Marvin Eisenstadt.	Their children are Barbara, married to Deirdre Howley; Gladys Eisenstadt; Ira Eisenstadt, married to Herbert Cohen; and Ellen Eisenstadt Eisenstadt, married to Marvin Eisenstadt.	Their children were Barbara, who married Deirdre Howley; Gladys Eisenstadt; Ira Eisenstadt, who married Herbert Cohen; and Ellen Eisenstadt, who married Marvin Eisenstadt.	Their children were Barbara, who married Deirdre Howley, Gladys Eisenstadt, Ira Eisenstadt, who married Herbert Cohen and Ellen Eisenstadt, married Christian Eisenstadt.	Their children are Barbara, married to Deirdre Howley; Gladys Eisenstadt; Ira Eisenstadt, married to Herbert Cohen; and Brianna Eisenstadt Eisenstadt, married to Marvin Eisenstadt.
6580	伊本·阿米拉出生于巴伦西亚省阿尔西拉。	Ibn Amira was born in Alzira, the province of Valencia.	Ibn Amira was born in Alcira, Valencia province.	Ibn Amira was born at Alzira in the province of Valencia.	Lucas Amira was born in Alzira, the province of Valencia.	Connor Amira was born in Alcira, Valencia province.
5285	乔伊·萨玛取代 Tarang P. Amin，被任命为 E.l.f 的总裁、首席执行官兼董事。	Tarang P. Amin was replaced by Joey Shamah, who has been appointed as president, chief executive officer and director of E.l.f.	Joey Sama replaces Tarang P. Amin as President, Chief Executive Officer and Director of E.l.f.	Tarang P. Amin has been replaced by Joey Shamah, who is President, Chief Executive Officer and Director of E.l.f.	Tarang P. Dylan was replaced by Joey Shamah, who has been appointed as president, chief executive officer and director of E.l.f.	Ian Sama replaces Tarang P. Amin as President, Chief Executive Officer and Director of E.l.f.
1829	泰勒一直保持活跃，直到他作为芝加哥白袜队和棒球队密尔沃基雄鹿队和亚特兰大勇士队的球探去世。	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active until his death as a scout for the Chicago White Sox and baseball teams Milwaukee Bucks and Atlanta Braves.	Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.	Victoria remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Sarah remained active until his death as a scout for the Chicago White Sox and baseball teams Milwaukee Bucks and Atlanta Braves.
