178	内德·兰布顿和麦克尤恩于 1995 年离婚。后来，她嫁给了音乐家朱斯·霍兰德。	Ned Lambton and McEwen divorced in 1995. She has since married the musician Jools Holland.	Ned Lambton and McEwan divorced in 1995. Later, she married the musician Joss Holland.	Ned Lambton and McEwen divorced in 1995, and since then she has married the musician Jools Holland.	Ned Lambton and Mcewen divorced in 1995 . He has since married the musician Jools Holland.	Ned Lambton and Mcewan divorced in 1995 . later, he married the musician joss Holland.
2175	它们有 13 根臀鳍软刺、11 到 13 根背鳍软刺、2 根背刺和 11 到 13 根臀鳍刺。	They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 back spines and 11 to 13 anal rays.	They have 13 anal soft spines, 11 to 13 dorsal soft spines, 2 dorsal spines and 11 to 13 anal spines.	They have 13 anal soft spines, 11 to 13 dorsal soft rays, 2 dorsal spines, and 11 to 13 anal rays.	We have 13 Anal soft Spines, 11 to 13 Dorsal soft rays, 2 back Spines and 11 to 13 Anal rays.	We have 13 Anal soft Spines, 11 to 13 Dorsal soft Spines, 2 Dorsal Spines and 11 to 13 Anal Spines.
4699	他是第一代准男爵亨利·斯雷尔爵士的遗腹子；他的母亲是啤酒酿造师约翰·拉德的姐姐。	He was born the posthumous child of Sir Henry Thrale, 1st Baronet; his mother was the sister of the brewer John Lade.	He was the posthumous son of Sir Henry Threll, 1st Baronet; his mother was the sister of brewer John Ladd.	He was the posthumous child of Sir Henry Thrale, 1st Baronet, his mother was the sister of the brewer John Lade.	She was born the posthumous child of Sir Henry Thrale, 1ST Baronet; her mother was the sister of the brewer John Lade.	She was the posthumous son of Sir Henry Threll, 1ST Baronet; her mother was the sister of brewer John LADD.
3148	在第一部电影中，德古拉伯爵必须结束他们与默里、韦恩和弗兰克之间关于娱乐纠纷的争吵。	In the first film, Count Dracula had to break up a dispute between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, Count Dracula must end their quarrel with Murray, Wayne, and Frank over an entertainment dispute.	In the first film, Count Dracula had to break up a fight between them and Murray, Wayne and Frank over the entertainment dispute.	In the first film, count Dracula had to break up a dispute between us and Murray, Wayne and Frank over the entertainment dispute.	In the first film, count Dracula must end our quarrel with Murray, Wayne, and Frank over an entertainment dispute.
4763	数百支西班牙军队守卫着西班牙佛罗里达，一般政策是平定他们领土上的印第安人，而非为其提供武器。	Spanish Florida was defended by a few hundred Spanish troops, and the regular policy was to pacify the Indians in their territory and not to provide them with weapons.	Hundreds of Spanish troops guarded Spanish Florida, and the general policy was to pacify the Indians on their territory, not to provide them with weapons.	Spanish Florida was defended by a few hundred Spanish troops; regular policy was to pacify the Indians in their territory and not to provide them with weapons.	Spanish Florida was defended by a few hundred Spanish troops, and the regular policy was to pacify the Indians in our territory and not to provide us with weapons.	Hundreds of Spanish troops guarded Spanish Florida, and the general policy was to pacify the Indians on our territory, not to provide us with weapons.
2239	他住在马里博尔和斯洛文尼亚卢布尔雅那，主要在斯洛文尼亚和克罗地亚执导。	He lives in Maribor and Ljubljana, Slovenia and directs mostly in Slovenia and Croatia.	He lives in Maribor and Ljubljana, Slovenia, and directs mainly in Slovenia and Croatia.	He lives in Maribor and Ljubljana, Slovenia, and directs in Slovenia and Croatia.	She lives in Maribor and Ljubljana, Slovenia and directs mostly in Slovenia and Croatia.	She lives in Maribor and Ljubljana, Slovenia, and directs mainly in Slovenia and Croatia.
7712	他曾在比利·艾克斯廷的乐队录制唱片，并于 1946 年与莱昂内尔·汉普顿一起演奏。	He recorded with the band of Billy Eckstine and in 1946 he played with Lionel Hampton.	He recorded with Billy Extin's band and played with Lionel Hampton in 1946.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	She recorded with the band of Billy Eckstine and in 1946 she played with Lionel Hampton.	She recorded with Billy Extin's band and played with Lionel Hampton in 1946.
2152	拉希迪没有被指控，但当他被拘留时，他被摩洛哥当局遣返回国。	Rashidi was not charged, but he was repatriated by Moroccan authorities, when he was detained.	Rashidi was not charged, but when he was detained, he was repatriated by Moroccan authorities.	Rashidi was not charged, but he was repatriated by the Moroccan authorities when he was arrested.	Rashidi was not charged, but she was Repatriated by Moroccan authorities, when she was detained.	Rashidi was not charged, but when she was detained, she was Repatriated by Moroccan authorities.
6159	为了表示尊重，这些人用右手支撑着他们的左前臂。	In order to show respect, the individuals support their left forearms with their right hand.	As a sign of respect, the men supported their left forearm with their right hand.	In order to show respect, individuals support their left forearms with their right hand.	In order to show respect, the individuals support our left forearms with our right hand.	As a sign of respect, the men supported our left forearm with our right hand.
3409	根据观察，她“拥有非常巨大的潜力，而且才华横溢，未来将成长为具有音乐个性的人”。	She was observed as ''has a very great potential and great talent and will grow in the future to a unique musical personality.	According to the observation, she "has very great potential and is very talented, and will grow into a person with a musical personality in the future".	She was observed as ``has a very great potential and a huge talent and will grow to an unique musical personality in future ''.	He was observed as "has a very great potential and great talent and will grow in the future to a unique musical personality.	According to the observation, he "has very great potential and is very talented, and will grow into a person with a musical personality in the future ".
394	在第二年和第三年他们将主攻一个专业：人文、行为和社会科学、经济与商业，或者生命科学。	In years two and three they specialize in a major: humanities, behavioural & social sciences, economics & business, or life sciences.	In the second and third years they will major in a major: Humanities, Behavioural and Social Sciences, Economics and Business, or Life Sciences.	In the years two and three they specialize in a major subject: humanities, behavioural social sciences, economics, business or life sciences.	In years two and three we specialize in a major: humanities, Behavioural & social sciences, economics & business, or life sciences.	In the second and third years we will major in a major: humanities, Behavioural and social sciences, economics and business, or life sciences.
2966	在他的帮助下，敌对王国 Nemedia 的军队击败并制服了 Aquilonian 的军队。	With his aid the Aquilonian army is defeated by that of the rival kingdom of Nemedia and occupied.	With his help, the armies of the rival kingdom of Nemedia defeated and subdued the armies of the Aquilonian.	With his help, the Aquilonian army is defeated and occupied by that of the rival kingdom of Nemedia.	With her aid the Aquilonian Army is defeated by that of the rival kingdom of Nemedia and occupied.	With her help, the armies of the rival kingdom of Nemedia defeated and subdued the armies of the Aquilonian.
2304	Hoppkorv 是美国蓝调摇滚乐热鲔鱼乐队的最后一张专辑， 是他们为 Grunt Records 录制的第七张专辑，称作 Grunt BFL1-1920。	Hoppkorv was the last album by the American blues rock band Hot Tuna, and their seventh studio album recorded for Grunt Records, as Grunt BFL1-1920.	Hoppkorv was the last album by the American blues rock band Hot Tuna, their seventh for Grunt Records, called Grunt BFL1-1920.	Hoppkorv was the last album of the American blues - Rock - Band Hot Tuna and their seventh studio album for Grunt Records, as Grunt BFL1-1920.	Hoppkorv was the last album by the American blues rock band hot Tuna, and our Seventh studio album recorded for grunt records, as grunt Bfl1-1920.	Hoppkorv was the last album by the American blues rock band hot Tuna, our Seventh for grunt records, called grunt Bfl1-1920.
7394	如今，他们中的大多数生活在希腊，还有一些仍然在保加利亚。	Today, the majority of them do live in Greece, with some still in Bulgaria.	Today, most of them live in Greece, and some are still in Bulgaria.	The majority of them live today in Greece, some still in Bulgaria.	Today, the majority of us do live in Greece, with some still in Bulgaria.	Today, most of us live in Greece, and some are still in Bulgaria.
132	他出生于田纳西州的卡特县，之后移居阿肯色州。	He was born in Carter County, Tennessee and was later moved to Arkansas.	He was born in Carter County, Tennessee, before moving to Arkansas.	He was born in Carter County, Tennessee and later moved to Arkansas.	She was born in Carter County, Tennessee and was later moved to Arkansas.	She was born in Carter County, Tennessee, before moving to Arkansas.
94	她们中有波莱罗舞曲作曲家玛丽·特蕾莎·里奥斯、作家尤莉塔·罗斯，以及歌手西尔维娅·雷克萨奇。	Among them are Marie Teresa Rios, a composer of Boleros, Julita Ross, author, and Sylvia Rexach, a singer.	Among them were Bolero composer Marie Teresa Rios, writer Yurita Ross, and singer Sylvia Rexach.	Among them are Marie Teresa Rios, a composer of boleros, Julita Ross, an author, and Sylvia Rexach, a singer.	Among us are Marie Teresa Rios, a composer of Boleros, Julita Ross, author, and Sylvia Rexach, a singer.	Among us were Bolero composer Marie Teresa Rios, writer Yurita Ross, and singer Sylvia Rexach.
5362	他们的孩子有芭芭拉，其配偶为迪尔德丽·豪利；格拉迪斯·艾森斯塔特；伊拉·艾森斯塔特，配偶为赫伯特·科恩；以及埃伦·艾森斯塔特，配偶为马文·艾森斯塔特。	Their children were Barbara, who married Deirdre Howley, Gladys Eisenstadt, Ira Eisenstadt, who married Herbert Cohen and Ellen Eisenstadt, married Marvin Eisenstadt.	Their children are Barbara, married to Deirdre Howley; Gladys Eisenstadt; Ira Eisenstadt, married to Herbert Cohen; and Ellen Eisenstadt Eisenstadt, married to Marvin Eisenstadt.	Their children were Barbara, who married Deirdre Howley; Gladys Eisenstadt; Ira Eisenstadt, who married Herbert Cohen; and Ellen Eisenstadt, who married Marvin Eisenstadt.	Our children were Barbara, who married Deirdre Howley, Gladys Eisenstadt, IRA Eisenstadt, who married Herbert Cohen and Ellen Eisenstadt, married Marvin Eisenstadt.	Our children are Barbara, married to Deirdre Howley; Gladys Eisenstadt; IRA Eisenstadt, married to Herbert Cohen; and Ellen Eisenstadt Eisenstadt, married to Marvin Eisenstadt.
3156	1924 年夏季，他前往阿肯色州南部的斯马科弗，在犹尼昂县附近诺夫利特的一间办公室从事繁荣的石油事业。	In the summer of 1924 he went to Smackover in South - Arkansas to work on the oil boom in an office in Norphlet near Union County.	In the summer of 1924, he traveled to Smackover, Arkansas, to work on a thriving oil business from an office in Novlet, near Union County.	In the summer of 1924, he went to Smackover in south Arkansas to work in the oil boom in an office at Norphlet near Union County.	In the summer of 1924 she went to Smackover in South - Arkansas to work on the oil boom in an office in Norphlet near Union County.	In the summer of 1924, she traveled to Smackover, Arkansas, to work on a thriving oil business from an office in Novlet, near Union County.
5137	他们在那里等着我们祈祷，他们在那里享受我们。	They were there for us to pray, and they were there to enjoy us.	They are there waiting for us to pray and they are there to enjoy us.	They were there for us to enjoy and they were there for us to pray.	We were there for them to pray, and we were there to enjoy them.	We are there waiting for them to pray and we are there to enjoy them.
1829	泰勒一直保持活跃，直到他作为芝加哥白袜队和棒球队密尔沃基雄鹿队和亚特兰大勇士队的球探去世。	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active until his death as a scout for the Chicago White Sox and baseball teams Milwaukee Bucks and Atlanta Braves.	Taylor remained active in baseball as a scout for the Atlanta Braves and the Milwaukee and Chicago White Sox until his death.	Taylor remained active until her death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Taylor remained active until her death as a scout for the Chicago White Sox and baseball teams Milwaukee bucks and Atlanta Braves.
2398	亨特立即告诉他的父亲扎克·麦克格威尔（查利·克劳森）和埃薇。	Hunter immediately tell his father, Zac MacGuire (Charlie Clausen), and Evie.	Hunter immediately tells his father Zach McGwell (Charlie Clausen) and Ivy.	Tell him immediately his father, Charlie Clausen (Zac MacGuire) and Evie.	Hunter immediately tell her father, Zac Macguire (Charlie Clausen), and Evie.	Hunter immediately tells her father Zach Mcgwell (Charlie Clausen) and Ivy.
3698	施利曼认出五个竖井并清理它们为鲍桑尼亚提到的坟墓。	Schliemann recognized five shafts and cleared them as the graves mentioned by Pausanias.	Schliemann identified five shafts and cleared them for the tombs mentioned by Pausanias.	Schliemann detected five shafts and cleared them as the graves mentioned by Pausanias.	Schliemann recognized five shafts and cleared us as the graves mentioned by Pausanias.	Schliemann identified five shafts and cleared us for the tombs mentioned by Pausanias.
23	在数学天文学领域，他的声誉归功于天文球体的提出，以及他对理解行星运动的早期贡献。	In mathematical astronomy, his fame is due to the introduction of the astronomical globe, and his early contributions to understanding the movement of the planets.	In the field of mathematical astronomy, he owes his reputation to the creation of the astronomical sphere and his early contributions to understanding the motion of planets.	His fame is due in mathematical astronomy to the introduction of the astronomical globe and to his early contributions to the understanding of the movement of the planets.	In mathematical astronomy, her fame is due to the introduction of the astronomical globe, and her early contributions to understanding the movement of the planets.	In the field of mathematical astronomy, she owes her reputation to the creation of the astronomical sphere and her early contributions to understanding the motion of planets.
3471	1937 年，杰拉德·赫德与妻子玛丽亚、儿子赫胥黎及朋友修·赫胥黎一起搬往好莱坞。	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley, and friend Matthew Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, son Huxley and friend Huxley.	In 1937, Gerald Heard moved to Hollywood with his wife Maria, his son Huxley and his friend Matthew Huxley.	In 1937, Gerald heard moved to Hollywood with her wife Maria, son Huxley, and friend Matthew Huxley.	In 1937, Gerald heard moved to Hollywood with her wife Maria, son Huxley and friend Huxley.
5331	他的父亲在他年轻时去世了，他的母亲凯瑟琳·A·法根于 1842 年与两年后成为了阿肯色州州长的塞缪尔·亚当斯结为了夫妻。	His father died during his youth and his mother, Catherine A. Fagan, in 1842 married Samuel Adams, who became Governor of Arkansas two years later.	His father died when he was young, and his mother, Catherine A. Fagan, married Samuel Adams, who two years later became governor of Arkansas, in 1842.	His father died in his youth, and his mother, Catherine A. Fagan, married Samuel Adams in 1842, who two years later became the governor of Arkansas.	Her father died during her youth and her mother, Catherine A. Fagan, in 1842 married Samuel Adams, who became governor of Arkansas two years later.	Her father died when she was young, and her mother, Catherine A. Fagan, married Samuel Adams, who two years later became governor of Arkansas, in 1842.
4727	1914 年托多罗夫先生在科尼岛设立了餐厅，并设计了他的杰克逊科尼岛辣椒酱食谱。	In 1914, Mr. Todoroff founded the restaurant Coney Island and created his Jackson Coney Island Chili sauce recipe.	In 1914 Mr. Todorov set up a restaurant on Coney Island and designed his Jackson Coney Island Chili Sauce recipe.	In 1914, Mr. Todoroff founded the Coney Island restaurant and created his Jackson Coney Island chili sauce recipe.	In 1914, Mr. Todoroff founded the restaurant Coney Island and created her Jackson Coney Island chili sauce recipe.	In 1914 Mr. Todorov set up a restaurant on Coney Island and designed her Jackson Coney Island chili sauce recipe.
5793	超级巨星杰克·史洛夫的司机阿洛克·南斯无法完成他的工作，因此被他的儿子迪派克（拉胡尔·罗伊）取代。	Superstar Jackie Shroff's driver Alok Nath was not able to do his job so he was replaced by his son Deepak (Rahul Roy).	Superstar Jack Shroff's driver, Alok Nance, can't do his job and is replaced by his son Deepak (Rahul Roy).	Alok Nath, the driver of superstar Jackie Shroff, was not able to do his job so that he was replaced by his son Deepak (Rahul Roy).	Superstar Jackie Shroff's driver Alok Nath was not able to do her job so she was replaced by her son Deepak (Rahul Roy).	Superstar Jack Shroff's driver, Alok Nance, can't do her job and is replaced by her son Deepak (Rahul Roy).
3581	伊瑟林 1971 年 1 月 5 日在马萨诸塞州法尔茅斯逝世。他的葬礼在马萨诸塞州葡萄园港的玛莎葡萄园岛举行。	Iselin died on 5 January 1971 in Falmouth, Massachusetts. His funeral took place in Vineyard Haven, Massachusetts on Marthas Vineyard.	Iselin died on January 5, 1971 in Falmouth, Massachusetts. His funeral was held on Martha's Vineyard in Vineyard Harbor, Massachusetts.	Iselin died on January 5, 1971 in Falmouth, Massachusetts. His funeral took place in Vineyard Haven, Massachusetts on Martha's Vineyard.	Iselin died on 5 January 1971 in Falmouth, Massachusetts . Her funeral took place in Vineyard haven, Massachusetts on Marthas Vineyard.	Iselin died on January 5, 1971 in Falmouth, Massachusetts . Her funeral was held on Martha's Vineyard in Vineyard harbor, Massachusetts.
6540	她受到理查德·吉布森和宫廷画家彼得·莱利的称赞，被认为像琼·卡莱尔一样成功。	Praised by Richard Gibson and court painter Peter Lely, she is considered as successful as Joan Carlile.	She was praised by Richard Gibson and court painter Peter Riley and was considered as successful as Joan Carlisle.	She is praised by Richard Gibson and the court painter Peter Lely and is considered as successful as Joan Carlile.	Praised by Richard Gibson and court painter Peter Lely, he is considered as successful as Joan Carlile.	He was praised by Richard Gibson and court painter Peter Riley and was considered as successful as Joan Carlisle.
3985	作为当前调查的一部分，警察还与歌手梨美·托米和演员卡薇雅·马德哈万进行面谈，两人均为西迪基及其妻子迪利普的密友。	The police also interviewed singer Rimi Tomy and the actor Kavya Madhavan, both close friends of Siddique and his wife Dileep, as part of the current investigation.	As part of the ongoing investigation, police also interviewed singer Rimi Tomi and actress Kaviya Madhawan, both close friends of Siddiqui and his wife Dilip.	The police also questioned singer Rimi Tomy and actor Kavya Madhavan, both close friends of Siddique and his wife Dileep, as part of the ongoing investigation.	The police also interviewed singer Rimi Tomy and the actor Kavya Madhavan, both close friends of Siddique and her wife Dileep, as part of the current investigation.	As part of the ongoing investigation, police also interviewed singer Rimi Tomi and actress Kaviya Madhawan, both close friends of Siddiqui and her wife Dilip.
5765	他们多少取得成功，在墨尔本、基隆和谢伯顿举行现场演出。	They achieved some success, playing live shows in Melbourne, Geelong and Shepparton.	They were somewhat successful, with live shows in Melbourne, Geelong and Shepparton.	They achieved some success by playing live shows in Shepparton, Geelong and Melbourne.	We achieved some success, playing live shows in Melbourne, Geelong and Shepparton.	We were somewhat successful, with live shows in Melbourne, Geelong and Shepparton.
5940	作为这所法国学校的小作曲家，他以指挥家的身份为印象派教会音乐作出了杰出贡献。	As a small composer in the French school, he made outstanding contributions to Impressionist church music as a conductor.	As a minor composer at the French school, he made an outstanding contribution to Impressionist church music as a conductor.	A minor composer in the French school, as a conductor he made outstanding contributions to Impressionist church music.	As a small composer in the French school, she made outstanding contributions to impressionist church music as a conductor.	As a minor composer at the French school, she made an outstanding contribution to impressionist church music as a conductor.
6125	阿尔法罗是第三位被判处在毒气室接受死刑的妇女，而在判决她时，她是加利福尼亚州的第一位死囚妇女。	Alfaro was the third woman sentenced to death in the gas chamber and, at the time of her sentencing, she was the first woman on death row in California.	Alfaro was the third woman to be sentenced to death in a gas chamber, and at the time of her sentence, she was the first woman on death row in California.	Alfaro was the third woman sentenced to death in the gas chamber, and at the time of sentencing, was the first woman on death row in California.	Alfaro was the third woman sentenced to death in the gas chamber and, at the time of her sentencing, he was the first woman on death row in California.	Alfaro was the third woman to be sentenced to death in a gas Chamber, and at the time of her sentence, he was the first woman on death row in California.
5597	她出生于不列颠哥伦比亚温哥华，在附近小镇北温哥华长大。	Born in Vancouver, British Columbia, she grew up in the neighboring city of North Vancouver.	She was born in Vancouver, British Columbia, and grew up in the nearby town of North Vancouver.	Born in Vancouver, British Columbia, she grew up in the neighboring town of North Vancouver.	Born in Vancouver, British Columbia, he grew up in the neighboring city of North Vancouver.	He was born in Vancouver, British Columbia, and grew up in the nearby town of North Vancouver.
7866	锡贝伯格说这首歌是他在整张专辑中最喜欢的，因为它很纯粹，很符合他的个人经历。	Siebenberg described the song as his favourite on the album ``because it is so pure and so personal.	Thibbeberg says the song is his favorite on the entire album because it's pure and fits his personal experience.	Siebenberg described the song as his favourite on the album ``because it is so personal and so pure.	Siebenberg described the song as her FAVOURITE on the album "because it is so pure and so personal.	Thibbeberg says the song is her favorite on the entire album because it's pure and fits her personal experience.
7581	他在剧集中出演格洛克纳的荧屏首秀已于 2013 年 2 月 22 日播出。	His first screen appearance as Glockner during the episode was broadcast on 22 February 2013.	His screen debut as Glockner in the series aired on February 22, 2013.	Mason made his first screen appearance as Glockner during the episode broadcast on 22 February, 2013.	Her first screen appearance as Glockner during the episode was broadcast on 22 February 2013.	Her screen debut as Glockner in the series aired on February 22, 2013.
4258	离开比利时后，他与澳大利亚的布里斯托尔市签订了三年合同，但由于签证问题不得不返回英国。	After leaving Belgium, he signed for three years with Bristol City in Australia, but had to return to England due to visa problems.	After leaving Belgium, he signed a three-year contract with the Australian city of Bristol, but had to return to the UK due to visa issues.	After leaving Belgium he signed with Bristol City for three years in Australia but had to return to England due to work visa issues.	After leaving Belgium, she signed for three years with Bristol city in Australia, but had to return to England due to Visa problems.	After leaving Belgium, she signed a three-year contract with the Australian city of Bristol, but had to return to the UK due to Visa issues.
5736	这点燃了他本打算向迦太基发起的四场战争中的第一场。	This ignited the first of four wars he was supposed to lead against Carthage.	This ignited the first of four wars he had intended to wage against Carthage.	This ignited the first of four wars he was to lead against Carthage.	This ignited the first of four wars she was supposed to lead against Carthage.	This ignited the first of four wars she had intended to wage against Carthage.
1983	劳埃德成立并带领其公司开始销售玩具和礼品，而且随着礼品业务发展壮大，他扩展了总部位于密苏里州格兰德维尤的 House of Lloyd。	Lloyd founded and led his business to start selling toys and gifts, and he expanded the House of Lloyd, based in Grandview, Missouri, while the gift business grew.	Lloyd founded and led his company into selling toys and gifts, and as the gift business grew, he expanded the House of Lloyd, headquartered in Grand View, Missouri.	Lloyd founded and led his business to begin selling toys and gifts, and he expanded the Grandview, Missouri based House of Lloyd as the gift business grew.	Lloyd founded and led her business to start selling toys and gifts, and she expanded the House of Lloyd, based in Grandview, Missouri, while the gift business grew.	Lloyd founded and led her company into selling toys and gifts, and as the gift business grew, she expanded the House of Lloyd, headquartered in Grand view, Missouri.
1666	他得知他身上带着 Shinra Banshou，一个包含忍者的世界隐世最强秘术的卷轴。	He learns that his body wears the Shinra Banshou, a scroll that contains the most powerful secret art in the Ninja world of Nabari.	He learns that he carries Shinra Banshou, a scroll that contains the most hidden magic in the world of ninjas.	He learns that his body holds the Shinra Banshou, a scroll that bears the most powerful secret art in the Ninja world of Nabari.	She learns that her body wears the Shinra Banshou, a Scroll that contains the most powerful secret art in the Ninja world of Nabari.	She learns that she carries Shinra Banshou, a Scroll that contains the most hidden magic in the world of Ninjas.
4694	他于 2010 年 3 月 5 日首次现身，最后一次出现是在 2010 年 5 月 14 日。	He first appeared on 5 March 2010 and last appeared on 14 May 2010.	He first appeared on March 5, 2010, and last appeared on May 14, 2010.	He appeared on March 5, 2010 and last on May 14, 2010.	She first appeared on 5 March 2010 and last appeared on 14 may 2010.	She first appeared on March 5, 2010, and last appeared on May 14, 2010.
