1100	曲はマイケル・バインホルムをドラムに迎え、トミー・リーによって製作された。	The tracks were produced by Tommy Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Lee with Michael Weinholm on drums.	The tracks were produced by Tommy Lee and by Michael Beinhorn on drums.	The tracks were produced by Justin Lee, and feature Michael Beinhorn on drums.	The song was produced by Tommy Alexander with Michael Weinholm on drums.
6493	この称号はハートフォードシャーの政治家であるジェームズ・グリムストンのために 1790 年に作られました。彼はその後、ヴェルラム伯爵の肩書きを取り戻し、その称号は彼の子孫に引き継がれました。	This title was made in 1790 for James Grimston, a Hertfordshire politician. He was later revived Earl of Verulam, a title still held by his descendants.	The title was created in 1790 for Hertfordshire statesman James Grimston. He subsequently regained the title of Count of Verulam, a title passed on to his descendants.	This title was created in 1790 for James Grimston, a Hertfordshire politician, who later revived Earl of Verulam, a title that was still held by his descendants.	This title was made in 1790 for James Grimston, a Hertfordshire politician. He was later revived Ian of Verulam, a title still held by his descendants.	The title was created in 1790 for Hertfordshire statesman Jack Grimston. He subsequently regained the title of Count of Verulam, a title passed on to his descendants.
2149	サー・トーマス・ダットン (1421 年 8 月 1 日 ～ 1459 年 9 月 23 日) は中世イギリスの騎士で、ジョン・ダットンとマーガレット・サベージの息子である。	Sir Thomas Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight, son of John Dutton and Margaret Savage.	Sir Thomas Dutton (August 1, 1421 - September 23, 1459) was an English medieval knight who was the son of Sir John Dutton and Margaret Savage.	Sir Jacob Dutton (1 August 1421 -- 23 September 1459) was a medieval English knight. He was the son of Sir John Dutton and Margaret Savage	Sir Thomas Dutton (1 August 1421 – 23 September 1459) was a medieval English knight, son of Evan Dutton and Margaret Savage.
6253	ブレイクは 1984 年にパトリシア・メイヤーと結婚してから 2 人の息子、ライアン (1988 年生まれ) とデール (1992 年生まれ) に恵まれている。	Since 1984, Blake has been married to Patricia Meyer and has two sons: Ryan (born 1988) and Dale (born 1992).	Blake married Patricia Mayer in 1984 and has two sons, Ryan (born 1988) and Dale (born 1992).	Blake has been married to Patricia Meyer since 1984 and together they have two sons: Ryan (born 1988) and Dale (born 1992).	Since 1984, Blake has been married to Chloe Meyer and has two sons: Ryan (born 1988) and Dale (born 1992).	Blake married Heather Mayer in 1984 and has two sons, Ryan (born 1988) and Dale (born 1992).
6453	アレクサンダー・バウムガートナー (1841 年 6 月 27 日スイス、サンクト・ガレン生まれ、1910 年ルクセンブルクにて死去) は、文学史を題材とする詩人、作家である。	Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.	Alexander Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in Luxembourg, 1910) was a poet and writer whose subject matter was literary history.	Alexander Baumgartner (born in St. Gall, Switzerland, 27 June 1841; died Luxembourg, 1910) was a poet and writer on the history of literature.	Caleb Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in 1910 in Luxembourg) was a poet and writer on the history of literature.	Kevin Baumgartner (born June 27, 1841 in St. Gallen, Switzerland; died in Luxembourg, 1910) was a poet and writer whose subject matter was literary history.
5482	トンプソンの弟ジュリアは、1863 年にオハイオ州ジアーガ群のチャールズ マーティン ホールで生まれました。	The younger brother of Thompson, Julia, was born in Charles Martin Hall, Geauga County, Ohio in 1863.	Thompson's younger brother, Julia, was born in 1863 at Charles Martin Hall in Giaga County, Ohio.	Thompson's younger brother, Julia, was born in 1863 in Charles Martin Hall, Geauga County, Ohio.	The younger brother of Thompson, Julia, was born in Charles Joseph Hall, Geauga County, Ohio in 1863.	Thompson's younger brother, Julia, was born in 1863 at Bryan Martin Hall in Giaga County, Ohio.
1699	イギリス支持者達はカタウバ川の西側の河畔に野営を張り、チャールズ・コーンワリ将軍の軍隊は川の東側に野営を張りました。	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	British supporters encamped on the western bank of the Catawba River, while General Charles Cornwari's army encamped on the eastern side of the river.	The Loyalists had camped on the west side of the Catawba River while General Charles Cornwalli's army were camped on the east side.	The loyalists had camped on the west side of the Catawba River, while the army of General Logan Cornwalli camped on the east side.	British supporters encamped on the western bank of the Catawba River, while General Christopher Cornwari's army encamped on the eastern side of the river.
5258	テイラーは、アトランタ ブレーブス、ミルウォーキー、シカゴ ホワイト ソックスのスカウトとして、その死まで野球に関わりました。	Taylor remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	Taylor was involved in baseball until his death as a scout for the Atlanta Braves, Milwaukee and Chicago White Sox.	Taylor remained active until his death as a scout for the Chicago White Sox and the Milwaukee and Atlanta Braves in the baseball.	Jamie remained active in baseball until his death as a scout for the Atlanta Braves and Milwaukee and Chicago White Sox.	Erica was involved in baseball until his death as a scout for the Atlanta Braves, Milwaukee and Chicago White Sox.
6038	トップはニコ・ロズベルグで、バルテリ・ボッタスとルイス・ハミルトンの属するウィリアムズよりも優位に立った。	The fastest was Nico Rosberg, ahead of Williams'; Valtteri Bottas and Lewis Hamilton.	Nico Rosberg took the lead, overtaking Williams with Valtteri Bottas and Lewis Hamilton.	Nico Rosberg was fastest, ahead of Williams' Valtteri Bottas and Lewis Hamilton.	The fastest was Kyle Rosberg, ahead of Williams'; Valtteri Bottas and Lewis Hamilton.	Nico Rosberg took the lead, overtaking Williams with Valtteri Bottas and Lewis Mason.
4809	2012 年にジルは、TV 番組『サルバドール - ロイヤルス』のリメイク番 - 映画『Mundo Man ay Magunaw』でジェニファー・ラ・ペナとして出演しました。	In 2012, Gil became part of the TV - Remake of the Salvador - Royales - Films ''Mundo Man ay Magunaw ``as Jennifer la Pena.	In 2012 Jill starred as Jennifer LaPena in the remake of the TV show Salvador - Royals - the movie Mundo Man ay Magunaw.	In 2012, Gil became part of the TV remake of the Salvador Royales film ``Mundo Man ay Magunaw ''as Jennifer la Pena.	In 2012, Gil became part of the TV - Remake of the Salvador - Royales - Films ''Mundo Man ay Magunaw ``as Catherine la Pena.	In 2012 Jill starred as Chloe LaPena in the remake of the TV show Salvador - Royals - the movie Mundo Man ay Magunaw.
2094	彼は、フランチェスコ・グリマルディ、バルトロメオ・ピキャッティ、ジョバンニ・ジャコモ・ディ・コンフォートなどの現代建築家と共同で作業した。	He collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He has worked with contemporary architects such as Francesco Grimaldi, Bartolomeo Picatti and Giovanni Giacomo di Confort.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He collaborated with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Cameron Di Conforto.	He has worked with contemporary architects such as Gregory Grimaldi, Bartolomeo Picatti and Giovanni Giacomo di Confort.
153	ロイヤリストはカトーバ川の西側で野営し、チャールズ・コーンウォリス将軍率いる軍隊は東側で野営しました。	The loyalists had camped on the west side of the Catawba River, while the army of General Charles Cornwalli camped on the east side.	The Loyalists encamped on the west side of the Catawba River, while the army under General Charles Cornwallis encamped on the east side.	The loyalists were camped on the west side of Catawba River, while the army of General Charles Cornwallis camped on the eastern side.	The loyalists had camped on the west side of the Catawba River, while the army of General Bradley Cornwalli camped on the east side.	The Loyalists encamped on the west side of the Catawba River, while the army under General Gregory Cornwallis encamped on the east side.
7515	ドクター・ヘクトル、コーディおよびクリスティは、フォレストを人質に取っているドクター・クリスティを探し出します。	Dr. Hector, Cody and Christie find Dr. Christie, who takes Forrest hostage.	Dr. Hector, Cody and Christie seek out Dr. Christie holding Forrest hostage.	Hector, Cody, and Christie find Dr. Christie who takes Forrest hostage.	Dr. Hector, Cody and Jessica find Dr. Jessica, who takes Forrest hostage.	Dr. Hector, Cody and Christie seek out Dr. Christie holding Joshua hostage.
3249	映画は商業上ヒットし、セルジオ・ソリーマのより政治的な映画の 1 つでしたが、前作のスパゲッティ西部劇映画に比べるとそれほどの成功を収めませんでした。	The film was a commercial hit, and one of Sergio Sollima's more political films, and less successful than the former spaghetti - director's westerns.	Although the film was a commercial hit and was one of Sergio Sollima's more political films, it was not as successful as his previous spaghetti western films.	The film was a commercial hit, and one of Sergio Sollima's more political films, and less successful than the director's earlier Spaghetti Westerns.	The film was a commercial hit, and one of Gregory Sollima's more political films, and less successful than the former spaghetti - director's westerns.	Although the film was a commercial hit and was one of Christian Sollima's more political films, it was not as successful as his previous spaghetti western films.
1498	ピーター・ダゴンジ (1903 年～-1967 年) は初期のジャズリード奏者で、アメリカのニューオリンズのジャズシーンで活動していた。	Peter DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Peter Dagonzi (1903-1967) was an early jazz lead player active in the New Orleans jazz scene in the United States.	Peter DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American jazz scene in New Orleans.	Carlos DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Kevin Dagonzi (1903-1967) was an early jazz lead player active in the New Orleans jazz scene in the United States.
3809	スリナムの著名な女性として、ジェニファー・シモンズ、Marijke Djwalapersad、エリザベス・サムソン、シンシア・マクロード、ルース・ヴェイデンボスが挙げられる。	Among the prominent women of Suriname are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.	Notable women from Suriname include Jennifer Simmons, Marijke Djwalapersad, Elizabeth Samson, Cynthia McLeod and Ruth Weidenbos.	Among Suriname's prominent women are Jennifer Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod and Ruth Wijdenbosch.	Among the prominent women of Suriname are Hailey Simons, Marijke Djwalapersad, Elisabeth Samson, Cynthia McLeod, and Ruth Wijdenbosch.	Notable women from Suriname include Jennifer Simmons, Marijke Djwalapersad, Elizabeth Samson, Allison McLeod and Ruth Weidenbos.
1366	次にアイヤールはカンナダ語の映画「Jaggu Dada」に俳優のダルシャンと共に出演した。	Next appeared Iyer in the Kannada - film ``Jaggu Dada ''with the actor Darshan.	Aiyar next appeared in the Kannada film 'Jaggu Dada' with actor Darshan.	Iyer next appeared in the Kannada film ``Jaggu Dada ''with actor Darshan.	Next appeared Iyer in the Kannada - film ``Jaggu Dada ''with the actor Mason.	Aiyar next appeared in the Kannada film 'Jaggu Dada' with actor Mark.
5118	2009 年に、クーリッジは演劇でジュヌビエーブ・マクドナー役を引き受けました。	In 2009, Coolidge took on a dramatic role in ``as Genevieve McDonagh.	In 2009, Coolidge took on the role of Genevieve McDonagh in the play.	In 2009, Coolidge took a dramatic role in ``as Genevieve McDonagh.	In 2009, Coolidge took on a dramatic role in ``as Monica McDonagh.	In 2009, Coolidge took on the role of Isabella McDonagh in the play.
6174	ジャン・コラッリと共に、アキッレ・デベリアはアデル・ドゥミラトルを描きました。	With Jean Coralli Achille Deveria drew Adèle Dumilâtre.	With Gian Coralli, Achille Deveria painted Adèle Demirator.	Achille Deveria drew Adèle Dumilâtre with Jean Coralli.	With Leah Coralli Achille Deveria drew Adèle Dumilâtre.	With Adam Coralli, Achille Deveria painted Adèle Demirator.
4206	湾仔と西貢にあったキャンパスは 2013 年の 8 月に堅尼地城の新しい用地に移動した。	The campus was located in Wan Chai and Sai Kung and moved to its new site in Kennedy Town in August 2013.	Campuses in Wan Chai and Sai Kung moved to a new site in Kennedy Town in August 2013.	The campus was located in Wan Chai and Sai Kung. In August 2013 the school moved to its new permanent site in Kennedy Town.	The campus was located in Wan Hunter and Sai Kung and moved to its new site in Kennedy Town in August 2013.	Campuses in Wan Brandon and Sai Kung moved to a new site in Kennedy Town in August 2013.
4955	10 月 3 日: フィル・タフネルがジェームズ・ヒューイットを破った (ダーツダブル 1 に勝利)	3 October: Phil Tufnell defeated James Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats James Hewitt (wins Darts Double 1)	3 October: Phil Tufnell beat James Hewitt (winning dart double 1)	3 October: Phil Tufnell defeated Jayden Hewitt (winning Dart Double 1)	October 3: Phil Tufnell beats Luke Hewitt (wins Darts Double 1)
3136	彼はトーマス・ケアンズとその妻、ジョン・スコットの娘ジェーン・スコットの息子でした。	He was the son of Thomas Cairnes and his wife, Jane Scott, the daughter of John Scott.	He was the son of Thomas Cairns and his wife, Jane Scott, daughter of John Scott.	He was the son of Thomas Cairnes and his wife Jane Scott, daughter of John Scott.	He was the son of Thomas Cairnes and his wife, Jane Scott, the daughter of Shawn Scott.	He was the son of Thomas Cairns and his wife, Jane Cameron, daughter of John Cameron.
5647	ホアン・マルティンス・ペーニャとフランシスカ・デ・パウラ・ジュリエッタ・ペーニャはマルティンス・ペーニャのもとにリオ・デ・ジャネイロで生まれた。	João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro, to Martins Pena.	Juan Martins Peña and Francesca de Paula Giulietta Peña were born in Rio de Janeiro to Martins Peña.	João Martins Pena and Francisca de Paula Julieta Pena was born in Rio de Janeiro to Pena Martins.	João Martins Pena and Francisca Caleb Paula Julieta Pena was born in Rio Caleb Janeiro, to Martins Pena.	Juan Martins Peña and Francesca de Laura Giulietta Peña were born in Rio de Janeiro to Martins Peña.
1683	アダム スラート（「内なる強さ」）は、タレケ・マスード監督による、バングラデシュの画家シェイク・モハメド・スルタンに関する 1989 年のドキュメンタリー映画です。	Adam Surat (``Inner Strength '') is a documentary film directed by Tareque Masud in 1989 about the Bangladeshi painter Sheikh Mohammed Sultan.	Adam Surat (“Inner Strength”) is a 1989 documentary film about the Bangladeshi painter Sheikh Mohammed Sultan, directed by Tarek Masoud.	Adam Surat (``The Inner Strength '') is a 1989 Bangladeshi documentary film about the Bangladeshi painter Sheikh Mohammed Sultan, directed by Tareque Masud.	Adam Surat (``Inner Strength '') is a documentary film directed by Tareque Masud in 1989 about the Bangladeshi painter Sheikh Brian Sultan.	Adam Surat (“Inner Strength”) is a 1989 documentary film about the Bangladeshi painter Sheikh Liam Sultan, directed by Tarek Masoud.
4074	1960 年、ジョン・T・ドリスコルとパトリック・F・マックドノーは、マサチューセッツ州の会計および収入係に立候補しました。彼は、ケネディの後任を決める民主党予備選挙で 3 位でした。	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver - General of Massachusetts, he was third in the democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Revenue Clerk in Massachusetts. He was his third-place finish in the Democratic primary to replace Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Receiver-General of Massachusetts. He finished third in the Democratic primary behind Kennedy.	In 1960, John T. Driscoll and Gabriel F. McDonough ran for Treasurer and Receiver - General of Massachusetts, he was third in the democratic primary behind Kennedy.	In 1960, John T. Driscoll and Patrick F. McDonough ran for Treasurer and Revenue Clerk in Massachusetts. He was his third-place finish in the Democratic primary to replace Laura.
2504	2016 年11 月 13 日、デニス・ウォレス保安官はデビッド・マチャドによってヒューソンの近くのフォックス・グローブ・パークで殺害された。	On November 13, 2016, Deputy Dennis Wallace was murdered in Fox Grove Park near the City of Hughson by David Machado.	On November 13, 2016, Sheriff Dennis Wallace was murdered at Fox Grove Park near Hewson by David Machado.	On 13 November 2016, David Machado murdered Dennis Wallace in Fox Grove Park near the city of Hughson.	On November 13, 2016, Deputy Timothy Wallace was murdered in Fox Grove Park near the City of Hughson by David Machado.	On November 13, 2016, Sheriff William Wallace was murdered at Fox Grove Park near Hewson by David Machado.
1643	ダンカン・マキンタイアーは、キャプテン・アイバー・ユーイング・マキンタイアーの息子として 1899 年 10 月 6 日にイギリスのケントで生まれました。	Duncan McIntyre was born on 6 October 1899 in Kent, England, the son of Captain Ivor Ewing McIntyre.	Duncan McIntyre was born in Kent, England on October 6, 1899, the son of Captain Ivor Ewing McIntyre.	Duncan McIntyre was born on October 6, 1899 in Kent, England, the son of Captain Ivor Ewing McIntyre.	Carlos McIntyre was born on 6 October 1899 in Kent, England, the son of Captain Ivor Ewing McIntyre.	Caleb McIntyre was born in Kent, England on October 6, 1899, the son of Captain Ivor Ewing McIntyre.
5669	ジャック・ニッチエが最初に「Stubborn Kind of Fellow」を聞いたとき、彼は興奮しすぎてフィル・スペクターと一緒にサンセット大通りをドライブ中に車の操縦を誤ってしまった。	When Jack Nitzsche first heard ``Stubborn Kind of Fellow ''he was so excited he lost control of his car while driving down Sunset Boulevard with Phil Spector.	When Jack Nitschie first heard "Stubborn Kind of Fellow," he got so excited that he lost control while driving down Sunset Boulevard with Phil Spector.	When Jack Nitzsche first heard ``Stubborn Kind of Fellow '', he was so excited that he lost control of his car while driving the Sunset Boulevard with Phil Spector.	When Jack Nitzsche first heard ``Stubborn Kind of Fellow ''he was so excited he lost control of his car while driving down Sunset Boulevard with Christopher Spector.	When David Nitschie first heard "Stubborn Kind of Fellow," he got so excited that he lost control while driving down Sunset Boulevard with Phil Spector.
1271	キューバのマタンサス州では、フェルナンド・ハイドリヒによって 1880 年にその栽培が導入されました。	In Matanzas its cultivation was introduced in 1880, by Fernando Heydrich in Cuba.	In Matanzas, Cuba, its cultivation was introduced in 1880 by Fernando Heydrich.	Its cultivation was introduced by Fernando Heydrich in Cuba in 1880.	In Matanzas its cultivation was introduced in 1880, by Robert Heydrich in Cuba.	In Matanzas, Cuba, its cultivation was introduced in 1880 by Tyler Heydrich.
6742	ティム ヘンマンは、決勝戦で 6 -7、6 - 4、7 - 6 でピート サンプラスを下しました。	Tim Henman won in the final 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras.	Tim Henman defeated Pete Sampras in the final, 6 - 7, 6 - 4, 7 - 6.	Tim Tim Henman won 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras in the finals.	Alexander Henman won in the final 6 -- 7, 6 -- 4, 7 -- 6 against Pete Sampras.	Tim Henman defeated Aiden Sampras in the final, 6 - 7, 6 - 4, 7 - 6.
5066	サラは 1791 年 7 月 29 日にリー・トーマス・ライト・ヒル ( 1765 年～ 1842 年) とバーミンガムにある聖マーチン教会で結婚し、8 人の子供をもうけた。	On July 29, 1791, Sarah married Lea Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children.	Sarah married Lee Thomas Wright Hill (1765-1842) at St Martin's Church, Birmingham on 29 July 1791 and had eight children.	Sarah Lea married Thomas Wright Hill (1765 -- 1842) on 29 July, 1791, at St Martin's Church, Birmingham and had 8 children.	On July 29, 1791, Sarah married Sydney Thomas Wright Hill (1765 -- 1842) at St. Martin's Church in Birmingham and had 8 children.	Sarah married Charles Thomas Wright Hill (1765-1842) at St Martin's Church, Birmingham on 29 July 1791 and had eight children.
3362	ピーター・ダコンジ (1903 ～ 1967) は初期のジャズリード奏者で、アメリカのニューオーリンズのジャズシーンで活動していた。	Peter DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American New Orleans jazz scene.	Peter Daconji (1903-1967) was an early jazz lead player active in the New Orleans jazz scene in the United States.	Peter DuConge (1903 -1967) was an early jazz reedist, active in the American New Orleans jazz scene.	Isaac DuConge (1903 - 1967) was an early Jazz - Reedist, active in the American New Orleans jazz scene.	Angel Daconji (1903-1967) was an early jazz lead player active in the New Orleans jazz scene in the United States.
4076	ニコール・プラットはクリスティン・ゴッドリッジに 6 -- 4、6 -- 3 で勝利した。	Nicole Pratt defeated Kristin Godridge 6 -- 4, 6 -- 3	Nicole Pratt beat Kristin Godridge 6-4, 6-3.	Nicole Nicole Pratt defeated Kristin Godridge 6 -- 4, 6 - 3	Nicole Pratt defeated Alexandra Godridge 6 -- 4, 6 -- 3	Michelle Pratt beat Kristin Godridge 6-4, 6-3.
6236	彼はフランチェスコ・グリマルディ、バルトロメオ・ピキャッティ、ジョバンニ・ジャコモ・ディ・コンフォートなどの現代建築家と一緒に仕事をした。	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Giacomo Di Conforto.	He worked with contemporary architects such as Francesco Grimaldi, Bartolomeo Picatti and Giovanni Giacomo di Confort.	He has collaborated with contemporary architects such as Giovan Giacomo Di Conforto, Bartolomeo Picchiatti and Francesco Grimaldi.	He worked together with contemporary architects such as Francesco Grimaldi, Bartolomeo Picchiatti and Giovan Christian Di Conforto.	He worked with contemporary architects such as Alexander Grimaldi, Bartolomeo Picatti and Giovanni Giacomo di Confort.
3944	アンディはロバートとケイティが一緒にいるところを目撃し、それをダズに伝えた。	Andy sees Robert and Katie together and tells it Daz.	Andy sees Robert and Katie together and tells Daz about it.	Andy sees Robert and Katie together and tells Daz.	Andy sees Luis and Katie together and tells it Daz.	Andy sees Robert and Monica together and tells Daz about it.
6048	ライオネル・ハンプトンはビリー・エクスタインのバンドと一緒に録音し、1946 年には自身のバンドを率いた。	He recorded with Billy Eckstine's band and played the Lionel Hampton band in 1946.	Lionel Hampton recorded with Billy Eckstein's band and led his own band in 1946.	He recorded with Billy Eckstine's band and in 1946, he played with the Lionel Hampton band.	He recorded with John Eckstine's band and played the Lionel Hampton band in 1946.	Lionel Brian recorded with Billy Eckstein's band and led his own band in 1946.
4427	彼の父はリンカンシャー議会の議員であるウィリアム・スキップウィスとアン・トスビィの息子 (非嫡出子) である。	His father was the illegitimate son of William Skipwith, a Member of Parliament for Lincolnshire, and Anne Tothby.	His father was the son (illegitimate) of William Skipwith and Anne Tosby, Member of Parliament for Lincolnshire.	His father was the illegitimate son of William Skipwith, a Lincolnshire member of parliament, and Anne Tothby.	His father was the illegitimate son of William Skipwith, a Member of Parliament for Lincolnshire, and Leah Tothby.	His father was the son (illegitimate) of Shawn Skipwith and Anne Tosby, Member of Parliament for Lincolnshire.
